"participant"	"partnerRegCondition"	"partnerRegRate"	"posttest.reg"	"pretest.reg"
"s6094"	"increase"	0.519	0.384615384615385	0.365384615384615
"s6095"	"decrease"	0.365	0.557692307692308	0.596153846153846
"s6096"	"decrease"	0.212	0.365384615384615	0.346153846153846
"s6097"	"decrease"	0.308	0.576923076923077	0.519230769230769
"s6099"	"decrease"	0.365	0.269230769230769	0.596153846153846
"s6101"	"no.change"	0.558	0.365384615384615	0.557692307692308
"s6102"	"no.change"	0.692	0.653846153846154	0.692307692307692
"s6103"	"no.change"	0.442	0.596153846153846	0.442307692307692
"s6104"	"no.change"	0.231	0.230769230769231	0.230769230769231
"s6105"	"increase"	0.942	0.846153846153846	0.673076923076923
"s6107"	"increase"	0.75	0.826923076923077	0.538461538461538
"s6108"	"increase"	0.731	0.788461538461538	0.519230769230769
"s6111"	"decrease"	0.269	0.307692307692308	0.442307692307692
"s6114"	"increase"	0.808	0.75	0.576923076923077
"s6115"	"decrease"	0.231	0.269230769230769	0.384615384615385
"s6119"	"no.change"	0.654	0.846153846153846	0.653846153846154
"s6120"	"no.change"	0.528	0.788461538461538	0.519230769230769
"s6123"	"increase"	0.923	0.846153846153846	0.653846153846154
"s6125"	"increase"	0.654	0.519230769230769	0.461538461538462
"s6128"	"increase"	0.962	0.692307692307692	0.692307692307692
"s6132"	"decrease"	0.096	0.0769230769230769	0.153846153846154
"s6134"	"decrease"	0.269	0.403846153846154	0.442307692307692
"s6135"	"no.change"	0.288	0.557692307692308	0.288461538461538
"s6136"	"no.change"	0.462	0.480769230769231	0.461538461538462
"s6137"	"no.change"	0.404	0.384615384615385	0.403846153846154
"s6138"	"no.change"	0.385	0.576923076923077	0.384615384615385
"s6139"	"no.change"	0.558	0.461538461538462	0.557692307692308
"s6140"	"no.change"	0.5	0.480769230769231	0.5
"s6141"	"no.change"	0.327	0.288461538461538	0.326923076923077
"s6149"	"no.change"	0.462	0.442307692307692	0.461538461538462
"s6150"	"no.change"	0.5	0.653846153846154	0.5
"s6153"	"increase"	0.75	0.634615384615385	0.538461538461538
"s6155"	"increase"	0.654	0.307692307692308	0.461538461538462
"s6156"	"increase"	0.731	0.903846153846154	0.519230769230769
"s6157"	"increase"	0.962	0.5	0.692307692307692
"s6160"	"increase"	0.385	0.557692307692308	0.269230769230769
"s6161"	"increase"	0.942	1	0.673076923076923
"s6162"	"increase"	0.654	0.5	0.461538461538462
"s6163"	"increase"	0.596	0.692307692307692	0.423076923076923
"s6164"	"increase"	0.673	0.653846153846154	0.480769230769231
"s6165"	"increase"	0.731	0.538461538461538	0.519230769230769
"s6170"	"decrease"	0.25	0.384615384615385	0.403846153846154
"s6171"	"decrease"	0.346	0.769230769230769	0.576923076923077
"s6173"	"decrease"	0.327	0.480769230769231	0.538461538461538
"s6176"	"decrease"	0.385	0.653846153846154	0.634615384615385
"s6177"	"decrease"	0.423	0.634615384615385	0.692307692307692
