"subject","gender","age","avatar","avatarIsCat"
"D1176","Male",33,"cat",TRUE
"D1409","Male",33,"cat",TRUE
"E1808","Male",33,"cat",TRUE
"A118","Female",34,"cat",TRUE
"A306","Female",34,"cat",TRUE
"A346","Female",34,"cat",TRUE
"A350","Female",34,"cat",TRUE
"A354","Female",34,"cat",TRUE
"B379","Female",34,"cat",TRUE
"B440","Female",34,"cat",TRUE
"B441","Female",34,"cat",TRUE
"B510","Female",34,"cat",TRUE
"B589","Female",34,"cat",TRUE
"B654","Female",34,"cat",TRUE
"B734","Female",34,"cat",TRUE
"C1020","Female",34,"cat",TRUE
"C763","Female",34,"cat",TRUE
"C825","Female",34,"cat",TRUE
"C850","Female",34,"cat",TRUE
"C890","Female",34,"cat",TRUE
"C964","Female",34,"cat",TRUE
"C996","Female",34,"cat",TRUE
"D1140","Female",34,"cat",TRUE
"D1197","Female",34,"cat",TRUE
"D1205","Female",34,"cat",TRUE
"D1438","Female",34,"cat",TRUE
"D1468","Female",34,"cat",TRUE
"E1530","Female",34,"cat",TRUE
"E1537","Female",34,"cat",TRUE
"E1561","Female",34,"cat",TRUE
"E1678","Female",34,"cat",TRUE
"E1688","Female",34,"cat",TRUE
"E1713","Female",34,"cat",TRUE
"E1813","Female",34,"cat",TRUE
"A15","Male",34,"cat",TRUE
"B674","Male",34,"cat",TRUE
"B676","Male",34,"cat",TRUE
"C877","Male",34,"cat",TRUE
"D1213","Male",34,"cat",TRUE
"D1455","Male",34,"cat",TRUE
"D1487","Male",34,"cat",TRUE
"E1778","Male",34,"cat",TRUE
"E1820","Male",34,"cat",TRUE
"A293","Female",35,"cat",TRUE
"A337","Female",35,"cat",TRUE
"B518","Female",35,"cat",TRUE
"B553","Female",35,"cat",TRUE
"B596","Female",35,"cat",TRUE
"B602","Female",35,"cat",TRUE
"B635","Female",35,"cat",TRUE
"B681","Female",35,"cat",TRUE
"B751","Female",35,"cat",TRUE
"C1012","Female",35,"cat",TRUE
"C821","Female",35,"cat",TRUE
"C995","Female",35,"cat",TRUE
"D1188","Female",35,"cat",TRUE
"D1271","Female",35,"cat",TRUE
"D1391","Female",35,"cat",TRUE
"D1471","Female",35,"cat",TRUE
"E1622","Female",35,"cat",TRUE
"E1627","Female",35,"cat",TRUE
"E1683","Female",35,"cat",TRUE
"E1687","Female",35,"cat",TRUE
"E1710","Female",35,"cat",TRUE
"E1848","Female",35,"cat",TRUE
"E1885","Female",35,"cat",TRUE
"A130","Male",35,"cat",TRUE
"A152","Male",35,"cat",TRUE
"A17","Male",35,"cat",TRUE
"A205","Male",35,"cat",TRUE
"A230","Male",35,"cat",TRUE
"A72","Male",35,"cat",TRUE
"B413","Male",35,"cat",TRUE
"B470","Male",35,"cat",TRUE
"B476","Male",35,"cat",TRUE
"B557","Male",35,"cat",TRUE
"B590","Male",35,"cat",TRUE
"C1000","Male",35,"cat",TRUE
"C1019","Male",35,"cat",TRUE
"D1400","Male",35,"cat",TRUE
"E1570","Male",35,"cat",TRUE
"E1696","Male",35,"cat",TRUE
"A102","Female",36,"cat",TRUE
"A141","Female",36,"cat",TRUE
"A27","Female",36,"cat",TRUE
"A77","Female",36,"cat",TRUE
"A95","Female",36,"cat",TRUE
"B538","Female",36,"cat",TRUE
