"participant","conformed","peerCondition","variableItem","item","trialNumber","trialInBlock"
"s132",FALSE,"humans","INVAR","feel",26,11
"s132",FALSE,"humans","INVAR","leave",27,12
"s132",FALSE,"humans","INVAR","find",28,13
"s132",TRUE,"humans","INVAR","put",29,14
"s132",FALSE,"humans","INVAR","give",30,15
"s133",TRUE,"humans","VAR","learn",1,1
"s133",TRUE,"humans","VAR","wet",2,2
"s133",TRUE,"humans","VAR","ring",3,3
"s133",TRUE,"humans","VAR","lean",4,4
"s133",TRUE,"humans","VAR","thrive",5,5
"s133",TRUE,"humans","VAR","spell",6,6
"s133",TRUE,"humans","VAR","bust",7,7
"s133",FALSE,"humans","VAR","spring",8,8
"s133",TRUE,"humans","VAR","dream",9,9
"s133",TRUE,"humans","VAR","weave",10,10
"s133",TRUE,"humans","VAR","spoil",11,11
"s133",TRUE,"humans","VAR","spit",12,12
"s133",FALSE,"humans","VAR","shrink",13,13
"s133",TRUE,"humans","VAR","leap",14,14
"s133",FALSE,"humans","VAR","drive",15,15
"s133",FALSE,"humans","INVAR","stand",16,1
"s133",FALSE,"humans","INVAR","read",17,2
"s133",FALSE,"humans","INVAR","lose",18,3
"s133",FALSE,"humans","INVAR","write",19,4
"s133",FALSE,"humans","INVAR","keep",20,5
"s133",FALSE,"humans","INVAR","hear",21,6
"s133",TRUE,"humans","INVAR","hit",22,7
"s133",FALSE,"humans","INVAR","bring",23,8
"s133",FALSE,"humans","INVAR","hold",24,9
"s133",FALSE,"humans","INVAR","sit",25,10
"s133",FALSE,"humans","INVAR","find",26,11
"s133",TRUE,"humans","INVAR","put",27,12
"s133",TRUE,"humans","INVAR","leave",28,13
"s133",FALSE,"humans","INVAR","give",29,14
"s133",FALSE,"humans","INVAR","feel",30,15
"s134",NA,"humans","VAR","ring",1,1
"s134",NA,"humans","VAR","learn",2,2
"s134",TRUE,"humans","VAR","thrive",3,3
"s134",FALSE,"humans","VAR","lean",4,4
"s134",TRUE,"humans","VAR","wet",5,5
"s134",FALSE,"humans","VAR","spring",6,6
"s134",TRUE,"humans","VAR","spell",7,7
"s134",TRUE,"humans","VAR","weave",8,8
"s134",FALSE,"humans","VAR","dream",9,9
"s134",TRUE,"humans","VAR","bust",10,10
"s134",FALSE,"humans","VAR","shrink",11,11
"s134",FALSE,"humans","VAR","spoil",12,12
"s134",FALSE,"humans","VAR","drive",13,13
"s134",FALSE,"humans","VAR","leap",14,14
"s134",FALSE,"humans","VAR","spit",15,15
"s134",TRUE,"humans","INVAR","stand",16,1
"s134",FALSE,"humans","INVAR","lose",17,2
"s134",FALSE,"humans","INVAR","write",18,3
"s134",FALSE,"humans","INVAR","keep",19,4
"s134",FALSE,"humans","INVAR","read",20,5
"s134",FALSE,"humans","INVAR","hear",21,6
"s134",FALSE,"humans","INVAR","bring",22,7
"s134",FALSE,"humans","INVAR","hold",23,8
"s134",FALSE,"humans","INVAR","sit",24,9
"s134",TRUE,"humans","INVAR","hit",25,10
"s134",FALSE,"humans","INVAR","find",26,11
"s134",FALSE,"humans","INVAR","leave",27,12
"s134",FALSE,"humans","INVAR","give",28,13
"s134",FALSE,"humans","INVAR","feel",29,14
"s134",TRUE,"humans","INVAR","put",30,15
"s135",TRUE,"humans","VAR","ring",1,1
