"participant","trialNumber","cue","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","partic.gender","phase","partic.age"
"s1001",41,"spatial",FALSE,TRUE,"tolfen","female","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female","test",25
"s1001",42,"spatial",TRUE,TRUE,"pelrul","female_side","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female","test",25
"s1001",43,"spatial",TRUE,TRUE,"wunrul","female_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","test",25
"s1001",44,"spatial",TRUE,TRUE,"wunrul","male_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","test",25
"s1001",45,"spatial",TRUE,FALSE,"wanfen","male","fox_large_male","wan","fox_dimin","wanfen","wanrul","wanfen","Female","test",25
"s1001",46,"spatial",FALSE,FALSE,"rikrul","male_side","bear_large_male","rik","bear_dimin","rikfen","rikrul","rikfen","Female","test",25
"s1001",47,"spatial",TRUE,FALSE,"wanfen","female","fox_large_male","wan","fox_dimin","wanfen","wanrul","wanfen","Female","test",25
"s1001",48,"spatial",FALSE,TRUE,"falfen","male","gate_large","fal","gate_dimin","falfen","falrul","falrul","Female","test",25
"s1002",1,"spatial",TRUE,TRUE,"tolwan","male","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolwan","Female","test",54
"s1002",2,"spatial",TRUE,FALSE,"fiswan","male","bokchoy_large","fis","bokchoy_dimin","fiswan","fisrul","fiswan","Female","test",54
"s1002",3,"spatial",TRUE,TRUE,"rikwan","male","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikwan","Female","test",54
"s1002",4,"spatial",FALSE,FALSE,"fiswan","female","bokchoy_large","fis","bokchoy_dimin","fiswan","fisrul","fisrul","Female","test",54
"s1002",5,"spatial",TRUE,FALSE,"fisrul","female_side","bokchoy_large","fis","bokchoy_dimin","fiswan","fisrul","fisrul","Female","test",54
"s1002",6,"spatial",TRUE,FALSE,"falwan","male","pitcher_large","fal","pitcher_dimin","falwan","falrul","falwan","Female","test",54
"s1002",7,"spatial",FALSE,FALSE,"rilrul","male_side","bear_large_male","ril","bear_dimin","rilwan","rilrul","rilwan","Female","test",54
