"participant"	"phase"	"partnerRegCondition"	"partnerRegRate"	"posttest.reg"	"pretest.reg"
"s6500"	"posttest"	"decrease"	0.288	0.365384615384615	0.480769230769231
"s6503"	"posttest"	"no.change"	0.692	0.788461538461538	0.692307692307692
"s6504"	"posttest"	"decrease"	0.327	0.519230769230769	0.557692307692308
"s6505"	"posttest"	"no.change"	0.154	0	0.153846153846154
"s6508"	"posttest"	"no.change"	0.442	0.365384615384615	0.442307692307692
"s6510"	"posttest"	"increase"	0.288	0.0576923076923077	0.211538461538462
"s6512"	"posttest"	"increase"	0.519	0.365384615384615	0.365384615384615
"s6513"	"posttest"	"increase"	0.404	0.346153846153846	0.288461538461538
"s6514"	"posttest"	"increase"	0.692	0.942307692307692	0.5
"s6515"	"posttest"	"increase"	0.788	0.403846153846154	0.557692307692308
"s6516"	"posttest"	"increase"	0.923	0.865384615384615	0.653846153846154
"s6517"	"posttest"	"increase"	0.885	0.673076923076923	0.634615384615385
"s6519"	"posttest"	"increase"	0.596	0.557692307692308	0.423076923076923
"s6520"	"posttest"	"increase"	0.615	0.461538461538462	0.442307692307692
"s6521"	"posttest"	"increase"	0.808	0.576923076923077	0.576923076923077
"s6522"	"posttest"	"increase"	0.827	0.692307692307692	0.596153846153846
"s6524"	"posttest"	"increase"	0.827	0.538461538461538	0.596153846153846
"s6525"	"posttest"	"increase"	0.788	0.788461538461538	0.557692307692308
"s6528"	"posttest"	"increase"	0.923	0.903846153846154	0.653846153846154
"s6529"	"posttest"	"increase"	0.654	0.0192307692307692	0.461538461538462
"s6531"	"posttest"	"increase"	0.962	0.653846153846154	0.692307692307692
"s6532"	"posttest"	"increase"	0.346	0.115384615384615	0.25
"s6533"	"posttest"	"increase"	0.827	1	0.596153846153846
"s6534"	"posttest"	"increase"	0.615	0.423076923076923	0.442307692307692
"s6535"	"posttest"	"increase"	0.808	0.884615384615385	0.576923076923077
"s6536"	"posttest"	"increase"	0.731	0.192307692307692	0.519230769230769
"s6537"	"posttest"	"increase"	0.923	1	0.653846153846154
"s6538"	"posttest"	"increase"	0.423	0.403846153846154	0.307692307692308
"s6542"	"posttest"	"increase"	0.404	0.442307692307692	0.288461538461538
"s6543"	"posttest"	"increase"	0.885	0.711538461538462	0.634615384615385
"s6544"	"posttest"	"increase"	0.673	0.615384615384615	0.480769230769231
"s6546"	"posttest"	"increase"	0.827	0.653846153846154	0.596153846153846
"s6547"	"posttest"	"increase"	0.538	0.5	0.384615384615385
"s6548"	"posttest"	"increase"	0.75	0.384615384615385	0.538461538461538
"s6549"	"posttest"	"increase"	0.558	0.365384615384615	0.403846153846154
"s6550"	"posttest"	"increase"	0.923	0.923076923076923	0.653846153846154
"s6551"	"posttest"	"increase"	0.75	0.846153846153846	0.538461538461538
"s6552"	"posttest"	"increase"	0.731	0.423076923076923	0.519230769230769
"s6553"	"posttest"	"increase"	0.731	0.461538461538462	0.519230769230769
"s6555"	"posttest"	"increase"	0.923	0.807692307692308	0.653846153846154
"s6556"	"posttest"	"increase"	0.75	0.653846153846154	0.538461538461538
"s6557"	"posttest"	"increase"	0.808	0.884615384615385	0.576923076923077
"s6558"	"posttest"	"increase"	0.885	0.826923076923077	0.634615384615385
"s6561"	"posttest"	"increase"	0.731	0.653846153846154	0.5
"s6562"	"posttest"	"increase"	0.885	0.884615384615385	0.634615384615385
