"participant","peerCondition","regLevel","verbStatus","phase","gender","age","attentionRating","otherPlayerReasonable","postReg.mean","verbStatus2"
"p32","human","low","REAL","postTest","Male",28,3,5,0.4,"REAL"
"p320","bot","high","REAL","postTest","Female",33,5,5,0.55,"REAL"
"p321","bot","high","REAL","postTest","Male",54,3,5,0.4,"REAL"
"p322","bot","low","REAL","postTest","Female",37,3,4,0.25,"REAL"
"p323","bot","low","REAL","postTest","Male",51,4,3,0.35,"REAL"
"p324","bot","low","REAL","postTest","Female",35,3,4,0.3,"REAL"
"p325","bot","high","REAL","postTest","Female",36,5,5,0.45,"REAL"
"p326","bot","low","REAL","postTest","Female",31,4,4,0.35,"REAL"
"p327","bot","high","REAL","postTest","Female",30,5,5,0.4,"REAL"
"p328","bot","low","REAL","postTest","Female",27,3,3,0.25,"REAL"
"p329","bot","high","REAL","postTest","Female",32,3,4,0.35,"REAL"
"p33","human","low","REAL","postTest","Female",28,4,3,0.25,"REAL"
"p331","bot","low","REAL","postTest","Female",31,3,5,0.5,"REAL"
"p332","bot","low","REAL","postTest","Female",34,4,2,0.25,"REAL"
"p333","bot","low","REAL","postTest","Male",37,4,5,0.55,"REAL"
"p334","bot","low","REAL","postTest","Female",54,4,5,0.3,"REAL"
"p335","bot","low","REAL","postTest","Male",30,3,4,0.4,"REAL"
"p336","bot","low","REAL","postTest","Male",28,4,4,0.4,"REAL"
"p337","bot","high","REAL","postTest","Female",30,4,2,0.25,"REAL"
"p338","bot","high","REAL","postTest","Female",31,4,4,0.6,"REAL"
"p339","bot","low","REAL","postTest","Male",28,2,3,0.65,"REAL"
"p34","human","high","REAL","postTest","Female",29,5,5,0.5,"REAL"
"p340","bot","high","REAL","postTest","Female",62,3,5,0.4,"REAL"
"p341","bot","high","REAL","postTest","Female",24,5,4,0.55,"REAL"
"p342","bot","low","REAL","postTest","Female",49,4,4,0.3,"REAL"
"p343","bot","high","REAL","postTest","Female",50,3,5,0.45,"REAL"
"p344","bot","high","REAL","postTest","Female",67,4,5,0.5,"REAL"
"p345","bot","low","REAL","postTest","Female",24,4,3,0.25,"REAL"
"p346","bot","high","REAL","postTest","Female",23,3,4,0.45,"REAL"
"p347","bot","low","REAL","postTest","Male",39,4,3,0.5,"REAL"
"p349","bot","low","REAL","postTest","Female",29,4,2,0.4,"REAL"
"p35","human","low","REAL","postTest","Female",31,5,2,0.15,"REAL"
"p350","bot","high","REAL","postTest","Male",33,4,4,0.5,"REAL"
"p351","bot","high","REAL","postTest","Female",28,3,3,0.35,"REAL"
"p352","bot","low","REAL","postTest","Female",28,4,2,0.3,"REAL"
"p353","bot","high","REAL","postTest","Female",36,5,5,0.05,"REAL"
"p354","bot","low","REAL","postTest","Male",40,4,3,0.2,"REAL"
"p355","bot","high","REAL","postTest","Male",38,3,1,0.5,"REAL"
"p356","bot","high","REAL","postTest","Male",61,4,4,0.35,"REAL"
"p357","bot","low","REAL","postTest","Male",29,4,4,0.4,"REAL"
"p358","bot","high","REAL","postTest","Male",23,2,5,0.25,"REAL"
"p359","bot","low","REAL","postTest","Male",33,4,5,0.1,"REAL"
"p36","human","high","REAL","postTest","Female",39,5,4,0.3,"REAL"
"p360","bot","high","REAL","postTest","Male",39,4,4,0.4,"REAL"
"p361","bot","high","REAL","postTest","Female",42,4,4,0.35,"REAL"
"p362","bot","low","REAL","postTest","Male",21,5,4,0,"REAL"
"p363","bot","high","REAL","postTest","Male",32,5,2,0.2,"REAL"
"p364","bot","low","REAL","postTest","Female",54,4,4,0.45,"REAL"
"p365","bot","low","REAL","postTest","Male",27,2,3,0.15,"REAL"
"p366","bot","high","REAL","postTest","Female",39,2,4,0.4,"REAL"
"p367","bot","low","REAL","postTest","Male",36,3,4,0.4,"REAL"
"p368","bot","high","REAL","postTest","Female",46,4,5,0.7,"REAL"
"p369","bot","low","REAL","postTest","Female",50,4,5,0.4,"REAL"
"p37","human","low","REAL","postTest","Male",58,5,2,0.55,"REAL"
"p370","bot","low","REAL","postTest","Male",34,3,4,0.25,"REAL"
"p371","bot","high","REAL","postTest","Male",47,5,4,0.45,"REAL"
"p372","bot","high","REAL","postTest","Female",30,4,5,0.6,"REAL"
"p373","bot","high","REAL","postTest","Male",27,5,5,0.65,"REAL"
"p374","bot","high","REAL","postTest","Male",40,4,4,0.4,"REAL"
"p375","bot","low","REAL","postTest","Male",32,5,4,0.25,"REAL"
"p376","bot","low","REAL","postTest","Male",46,5,2,0.5,"REAL"
"p377","bot","low","REAL","postTest","Female",30,5,5,0.7,"REAL"
"p379","bot","low","REAL","postTest","Female",67,4,3,0.25,"REAL"
"p38","human","high","REAL","postTest","Male",43,5,5,0.8,"REAL"
"p380","bot","high","REAL","postTest","Male",47,3,4,0.25,"REAL"
"p381","bot","high","REAL","postTest","Female",37,4,5,0.4,"REAL"
"p382","bot","low","REAL","postTest","Male",37,5,4,0.25,"REAL"
"p383","bot","low","REAL","postTest","Male",36,4,3,0.35,"REAL"
"p384","bot","low","REAL","postTest","Female",24,3,4,0.35,"REAL"
"p385","bot","high","REAL","postTest","Female",51,5,5,0.15,"REAL"
"p386","bot","low","REAL","postTest","Female",37,4,5,0.15,"REAL"
"p387","bot","high","REAL","postTest","Male",24,4,4,0.4,"REAL"
"p388","bot","high","REAL","postTest","Male",35,5,5,0.5,"REAL"
"p389","bot","low","REAL","postTest","Female",26,4,4,0.35,"REAL"
"p39","human","high","REAL","postTest","Male",28,2,5,0.3,"REAL"
"p390","bot","high","REAL","postTest","Male",29,5,3,0.25,"REAL"
"p391","bot","high","REAL","postTest","Female",36,4,3,0.45,"REAL"
"p392","bot","high","REAL","postTest","Male",33,5,4,0.65,"REAL"
"p393","bot","low","REAL","postTest","Male",28,4,4,0.55,"REAL"
"p394","bot","low","REAL","postTest","Female",26,3,1,0.3,"REAL"
"p395","bot","high","REAL","postTest","Male",34,4,5,0.55,"REAL"
"p396","bot","low","REAL","postTest","Female",33,5,3,0.55,"REAL"
"p397","bot","low","REAL","postTest","Male",22,4,3,0.25,"REAL"
"p398","bot","low","REAL","postTest","Male",29,3,5,0.3,"REAL"
"p399","bot","high","REAL","postTest","Female",45,4,4,0.6,"REAL"
"p40","human","high","REAL","postTest","Female",38,1,5,0.55,"REAL"
"p400","bot","high","REAL","postTest","Male",26,4,4,0.4,"REAL"
"p401","bot","high","REAL","postTest","Male",33,4,4,0.2,"REAL"
"p402","bot","low","REAL","postTest","Male",24,4,5,0.25,"REAL"
"p403","bot","high","REAL","postTest","Male",29,4,4,0.4,"REAL"
"p404","bot","high","REAL","postTest","Female",58,3,4,0.7,"REAL"
"p405","bot","high","REAL","postTest","Female",42,2,4,0.55,"REAL"
"p406","bot","low","REAL","postTest","Male",26,4,5,0.1,"REAL"
"p407","bot","high","REAL","postTest","Female",36,5,5,0.65,"REAL"
