"subject","trialNumber","condition","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","subject.gender","subject.age","phase"
"s1001",41,"nonsocial",FALSE,TRUE,"tolfen","female","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female",24,"test"
"s1001",42,"nonsocial",TRUE,TRUE,"pelrul","female_side","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female",24,"test"
"s1001",43,"nonsocial",TRUE,TRUE,"wunrul","female_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female",24,"test"
"s1001",44,"nonsocial",TRUE,TRUE,"wunrul","male_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female",24,"test"
"s1001",45,"nonsocial",TRUE,FALSE,"wanfen","male","fox_large_male","wan","fox_dimin","wanfen","wanrul","wanfen","Female",24,"test"
"s1001",46,"nonsocial",FALSE,FALSE,"rikrul","male_side","bear_large_male","rik","bear_dimin","rikfen","rikrul","rikfen","Female",24,"test"
"s1001",47,"nonsocial",TRUE,FALSE,"wanfen","female","fox_large_male","wan","fox_dimin","wanfen","wanrul","wanfen","Female",24,"test"
"s1001",48,"nonsocial",FALSE,TRUE,"falfen","male","gate_large","fal","gate_dimin","falfen","falrul","falrul","Female",24,"test"
"s1002",1,"nonsocial",TRUE,TRUE,"tolwan","male","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolwan","Female",55,"test"
"s1002",2,"nonsocial",TRUE,FALSE,"fiswan","male","bokchoy_large","fis","bokchoy_dimin","fiswan","fisrul","fiswan","Female",55,"test"
"s1002",3,"nonsocial",TRUE,TRUE,"rikwan","male","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikwan","Female",55,"test"
"s1002",4,"nonsocial",FALSE,FALSE,"fiswan","female","bokchoy_large","fis","bokchoy_dimin","fiswan","fisrul","fisrul","Female",55,"test"
"s1002",5,"nonsocial",TRUE,FALSE,"fisrul","female_side","bokchoy_large","fis","bokchoy_dimin","fiswan","fisrul","fisrul","Female",55,"test"
"s1002",6,"nonsocial",TRUE,FALSE,"falwan","male","pitcher_large","fal","pitcher_dimin","falwan","falrul","falwan","Female",55,"test"
"s1002",7,"nonsocial",FALSE,FALSE,"rilrul","male_side","bear_large_male","ril","bear_dimin","rilwan","rilrul","rilwan","Female",55,"test"
"s1002",8,"nonsocial",FALSE,FALSE,"falwan","female","pitcher_large","fal","pitcher_dimin","falwan","falrul","falrul","Female",55,"test"
"s1002",9,"nonsocial",TRUE,TRUE,"taswan","male","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female",55,"test"
"s1002",10,"nonsocial",FALSE,TRUE,"toswan","female","chair_large","tos","chair_dimin","toswan","tosrul","tosrul","Female",55,"test"
"s1002",11,"nonsocial",FALSE,FALSE,"fekwan","male","bokchoy_large","fek","bokchoy_dimin","fekwan","fekrul","fekrul","Female",55,"test"
"s1002",12,"nonsocial",FALSE,TRUE,"tolwan","female","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolrul","Female",55,"test"
"s1002",13,"nonsocial",FALSE,TRUE,"taswan","female","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female",55,"test"
"s1002",14,"nonsocial",FALSE,FALSE,"fekwan","female","bokchoy_large","fek","bokchoy_dimin","fekwan","fekrul","fekrul","Female",55,"test"
"s1002",15,"nonsocial",TRUE,TRUE,"fenrul","female_side","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenrul","Female",55,"test"
"s1002",16,"nonsocial",FALSE,FALSE,"rilwan","female","bear_large_male","ril","bear_dimin","rilwan","rilrul","rilrul","Female",55,"test"
"s1002",17,"nonsocial",TRUE,TRUE,"tolrul","female_side","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolrul","Female",55,"test"
"s1002",18,"nonsocial",FALSE,TRUE,"tosrul","male_side","chair_large","tos","chair_dimin","toswan","tosrul","toswan","Female",55,"test"
"s1002",19,"nonsocial",FALSE,TRUE,"tolrul","male_side","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolwan","Female",55,"test"
"s1002",20,"nonsocial",TRUE,FALSE,"falrul","female_side","pitcher_large","fal","pitcher_dimin","falwan","falrul","falrul","Female",55,"test"
"s1002",21,"nonsocial",TRUE,FALSE,"wukwan","male","mushroom_large","wuk","mushroom_dimin","wukwan","wukrul","wukwan","Female",55,"test"
"s1002",22,"nonsocial",TRUE,TRUE,"pelrul","female_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelrul","Female",55,"test"
"s1002",23,"nonsocial",TRUE,FALSE,"wunwan","male","chair_large","wun","chair_dimin","wunwan","wunrul","wunwan","Female",55,"test"
"s1002",24,"nonsocial",TRUE,FALSE,"rilrul","female_side","bear_large_male","ril","bear_dimin","rilwan","rilrul","rilrul","Female",55,"test"
