"gender"	"yearOfBirth"	"phase"	"weak.past"	"strong.past"	"category"	"sensibility"	"partnerRegRate"	"partnerRegCondition"	"item.reg.mean"	"response"	"regular"	"participant"	"age"
"Female"	1958	"posttest"	"snurned"	"snurnt"	"burnt"	"sensible"	0.654	"no.change"	0.757	"snurnt"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"murned"	"murnt"	"burnt"	"sensible"	0.654	"no.change"	0.723	"murned"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"skelled"	"skelt"	"burnt"	"sensible"	0.654	"no.change"	0.584	"skelled"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"sminked"	"smank"	"sang"	"sensible"	0.654	"no.change"	0.579	"sminked"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"slilled"	"slilt"	"burnt"	"sensible"	0.654	"no.change"	0.693	"slilt"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"shreened"	"shrent"	"kept"	"sensible"	0.654	"no.change"	0.693	"shreened"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"skrined"	"skrone"	"drove"	"sensible"	0.654	"no.change"	0.599	"skrone"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"klided"	"klode"	"drove"	"sensible"	0.654	"no.change"	0.495	"klode"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"drelled"	"drelt"	"burnt"	"sensible"	0.654	"no.change"	0.653	"drelt"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"greemed"	"gremt"	"kept"	"sensible"	0.654	"no.change"	0.629	"greemed"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"gimmed"	"gam"	"sang"	"sensible"	0.654	"no.change"	0.728	"gimmed"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"splinged"	"splang"	"sang"	"sensible"	0.654	"no.change"	0.401	"splang"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"streened"	"strent"	"kept"	"sensible"	0.654	"no.change"	0.718	"strent"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"dreeped"	"drept"	"kept"	"sensible"	0.654	"no.change"	0.441	"drept"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"sleeled"	"slelt"	"kept"	"sensible"	0.654	"no.change"	0.55	"slelt"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"sprurned"	"sprurnt"	"burnt"	"sensible"	0.654	"no.change"	0.688	"sprurned"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"grinked"	"grank"	"sang"	"sensible"	0.654	"no.change"	0.47	"grank"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"skeeped"	"skept"	"kept"	"sensible"	0.654	"no.change"	0.485	"skept"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"dwinged"	"dwang"	"sang"	"sensible"	0.654	"no.change"	0.485	"dwang"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"thided"	"thode"	"drove"	"sensible"	0.654	"no.change"	0.436	"thode"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"surned"	"surnt"	"burnt"	"sensible"	0.654	"no.change"	0.698	"surned"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"glined"	"glone"	"drove"	"sensible"	0.654	"no.change"	0.619	"glone"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"trurned"	"trurnt"	"burnt"	"sensible"	0.654	"no.change"	0.718	"trurned"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"fided"	"fode"	"drove"	"sensible"	0.654	"no.change"	0.485	"fode"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"zelled"	"zelt"	"burnt"	"sensible"	0.654	"no.change"	0.639	"zelt"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"fimmed"	"fam"	"sang"	"sensible"	0.654	"no.change"	0.772	"fimmed"	TRUE	"s6023"	56
