"participant","peerCondition","regLevel","verbStatus","phase","gender","age","attentionRating","otherPlayerReasonable","postReg.mean","verbStatus2"
"p269","bot","low","NONCE","postTest","Male",29,3,3,0.615384615384615,"PSEUDO"
"p27","human","low","NONCE","postTest","Female",44,5,1,0.615384615384615,"PSEUDO"
"p270","bot","high","NONCE","postTest","Male",30,5,4,0.730769230769231,"PSEUDO"
"p271","bot","high","NONCE","postTest","Female",22,4,3,0.711538461538462,"PSEUDO"
"p272","bot","high","NONCE","postTest","Male",24,4,4,0.557692307692308,"PSEUDO"
"p273","bot","low","NONCE","postTest","Male",31,3,4,0.634615384615385,"PSEUDO"
"p274","bot","high","NONCE","postTest","Male",25,5,5,0.519230769230769,"PSEUDO"
"p275","bot","high","NONCE","postTest","Male",45,3,4,0.346153846153846,"PSEUDO"
"p276","bot","low","NONCE","postTest","Male",26,4,5,0.519230769230769,"PSEUDO"
"p277","bot","low","NONCE","postTest","Male",39,4,4,0.25,"PSEUDO"
"p278","bot","high","NONCE","postTest","Male",39,4,3,0.365384615384615,"PSEUDO"
"p279","bot","low","NONCE","postTest","Male",31,2,2,0.519230769230769,"PSEUDO"
"p28","human","low","NONCE","postTest","Female",36,5,4,0.442307692307692,"PSEUDO"
"p280","bot","high","NONCE","postTest","Female",33,4,4,0.826923076923077,"PSEUDO"
"p281","bot","high","NONCE","postTest","Female",32,3,2,0.403846153846154,"PSEUDO"
"p282","bot","low","NONCE","postTest","Female",52,5,5,0.403846153846154,"PSEUDO"
"p283","bot","low","NONCE","postTest","Male",46,5,4,0.288461538461538,"PSEUDO"
"p284","bot","low","NONCE","postTest","Female",36,4,5,0.365384615384615,"PSEUDO"
"p285","bot","low","NONCE","postTest","Female",33,5,3,0.307692307692308,"PSEUDO"
"p286","bot","low","NONCE","postTest","Male",30,5,4,0.557692307692308,"PSEUDO"
"p287","bot","high","NONCE","postTest","Male",37,5,5,0.576923076923077,"PSEUDO"
"p288","bot","high","NONCE","postTest","Female",38,4,4,0.846153846153846,"PSEUDO"
"p289","bot","low","NONCE","postTest","Male",45,3,2,0.557692307692308,"PSEUDO"
"p29","human","low","NONCE","postTest","Male",27,5,5,0.538461538461538,"PSEUDO"
"p290","bot","high","NONCE","postTest","Male",34,5,5,0.75,"PSEUDO"
"p291","bot","low","NONCE","postTest","Male",42,4,4,0.538461538461538,"PSEUDO"
"p292","bot","low","NONCE","postTest","Female",61,5,5,0.538461538461538,"PSEUDO"
"p293","bot","high","NONCE","postTest","Male",64,3,5,0.730769230769231,"PSEUDO"
"p294","bot","high","NONCE","postTest","Female",39,4,4,0.615384615384615,"PSEUDO"
"p295","bot","high","NONCE","postTest","Male",39,5,5,0.596153846153846,"PSEUDO"
"p296","bot","high","NONCE","postTest","Female",31,4,3,0.980769230769231,"PSEUDO"
"p297","bot","low","NONCE","postTest","Female",34,5,5,0.769230769230769,"PSEUDO"
"p298","bot","high","NONCE","postTest","Female",41,5,5,0.865384615384615,"PSEUDO"
"p299","bot","high","NONCE","postTest","Male",28,4,4,0.711538461538462,"PSEUDO"
"p3","human","high","NONCE","postTest","Female",29,5,5,0.5,"PSEUDO"
"p30","human","high","NONCE","postTest","Female",40,3,5,0.75,"PSEUDO"
"p300","bot","low","NONCE","postTest","Female",53,3,5,0,"PSEUDO"
"p301","bot","low","NONCE","postTest","Male",19,1,5,0.576923076923077,"PSEUDO"
"p302","bot","low","NONCE","postTest","Male",30,4,3,0.211538461538462,"PSEUDO"
"p303","bot","high","NONCE","postTest","Male",27,3,5,0.846153846153846,"PSEUDO"
"p304","bot","low","NONCE","postTest","Male",26,5,3,0,"PSEUDO"
"p306","bot","low","NONCE","postTest","Female",36,4,4,0.134615384615385,"PSEUDO"
"p307","bot","high","NONCE","postTest","Female",33,4,5,0.769230769230769,"PSEUDO"
"p308","bot","high","NONCE","postTest","Male",27,4,5,0.596153846153846,"PSEUDO"
"p309","bot","low","NONCE","postTest","Male",38,3,3,0.519230769230769,"PSEUDO"
"p31","human","low","NONCE","postTest","Female",28,4,4,0.384615384615385,"PSEUDO"
"p310","bot","low","NONCE","postTest","Male",27,4,5,0.5,"PSEUDO"
"p311","bot","low","NONCE","postTest","Female",60,4,1,0.461538461538462,"PSEUDO"
"p312","bot","low","NONCE","postTest","Female",25,5,4,0.384615384615385,"PSEUDO"
"p313","bot","high","NONCE","postTest","Male",38,4,4,0.788461538461538,"PSEUDO"
"p314","bot","low","NONCE","postTest","Male",32,5,4,0.442307692307692,"PSEUDO"
"p315","bot","low","NONCE","postTest","Female",35,4,3,0.846153846153846,"PSEUDO"
"p316","bot","high","NONCE","postTest","Female",24,4,4,0.903846153846154,"PSEUDO"
"p317","bot","high","NONCE","postTest","Male",33,5,4,0.846153846153846,"PSEUDO"
"p318","bot","high","NONCE","postTest","Male",40,4,4,0.730769230769231,"PSEUDO"
"p319","bot","high","NONCE","postTest","Female",34,3,3,0.519230769230769,"PSEUDO"
"p32","human","low","NONCE","postTest","Male",28,3,5,0.557692307692308,"PSEUDO"
"p320","bot","high","NONCE","postTest","Female",33,5,5,0.846153846153846,"PSEUDO"
"p321","bot","high","NONCE","postTest","Male",54,3,5,0.634615384615385,"PSEUDO"
"p322","bot","low","NONCE","postTest","Female",37,3,4,0.557692307692308,"PSEUDO"
"p323","bot","low","NONCE","postTest","Male",51,4,3,0.134615384615385,"PSEUDO"
"p324","bot","low","NONCE","postTest","Female",35,3,4,0.461538461538462,"PSEUDO"
"p325","bot","high","NONCE","postTest","Female",36,5,5,0.807692307692308,"PSEUDO"
"p326","bot","low","NONCE","postTest","Female",31,4,4,0.211538461538462,"PSEUDO"
"p327","bot","high","NONCE","postTest","Female",30,5,5,0.596153846153846,"PSEUDO"
"p328","bot","low","NONCE","postTest","Female",27,3,3,0.634615384615385,"PSEUDO"
"p329","bot","high","NONCE","postTest","Female",32,3,4,0.75,"PSEUDO"
"p33","human","low","NONCE","postTest","Female",28,4,3,0.423076923076923,"PSEUDO"
"p331","bot","low","NONCE","postTest","Female",31,3,5,0.269230769230769,"PSEUDO"
"p332","bot","low","NONCE","postTest","Female",34,4,2,0,"PSEUDO"
"p333","bot","low","NONCE","postTest","Male",37,4,5,0.442307692307692,"PSEUDO"
"p334","bot","low","NONCE","postTest","Female",54,4,5,0.0384615384615385,"PSEUDO"
"p335","bot","low","NONCE","postTest","Male",30,3,4,0.5,"PSEUDO"
"p336","bot","low","NONCE","postTest","Male",28,4,4,0.557692307692308,"PSEUDO"
"p337","bot","high","NONCE","postTest","Female",30,4,2,0.307692307692308,"PSEUDO"
"p338","bot","high","NONCE","postTest","Female",31,4,4,0.807692307692308,"PSEUDO"
"p339","bot","low","NONCE","postTest","Male",28,2,3,0.538461538461538,"PSEUDO"
"p34","human","high","NONCE","postTest","Female",29,5,5,0.615384615384615,"PSEUDO"
"p340","bot","high","NONCE","postTest","Female",62,3,5,0.788461538461538,"PSEUDO"
"p341","bot","high","NONCE","postTest","Female",24,5,4,0.846153846153846,"PSEUDO"
"p342","bot","low","NONCE","postTest","Female",49,4,4,0.153846153846154,"PSEUDO"
"p343","bot","high","NONCE","postTest","Female",50,3,5,0.653846153846154,"PSEUDO"
"p344","bot","high","NONCE","postTest","Female",67,4,5,0.807692307692308,"PSEUDO"
"p345","bot","low","NONCE","postTest","Female",24,4,3,0.442307692307692,"PSEUDO"
"p346","bot","high","NONCE","postTest","Female",23,3,4,0.865384615384615,"PSEUDO"
"p347","bot","low","NONCE","postTest","Male",39,4,3,0.961538461538462,"PSEUDO"
"p349","bot","low","NONCE","postTest","Female",29,4,2,0.403846153846154,"PSEUDO"
"p35","human","low","NONCE","postTest","Female",31,5,2,0.288461538461538,"PSEUDO"
"p350","bot","high","NONCE","postTest","Male",33,4,4,0.807692307692308,"PSEUDO"
"p351","bot","high","NONCE","postTest","Female",28,3,3,0.692307692307692,"PSEUDO"
"p352","bot","low","NONCE","postTest","Female",28,4,2,0.634615384615385,"PSEUDO"
"p353","bot","high","NONCE","postTest","Female",36,5,5,0.365384615384615,"PSEUDO"
"p354","bot","low","NONCE","postTest","Male",40,4,3,0.615384615384615,"PSEUDO"
"p355","bot","high","NONCE","postTest","Male",38,3,1,0.519230769230769,"PSEUDO"
"p356","bot","high","NONCE","postTest","Male",61,4,4,0.788461538461538,"PSEUDO"
"p357","bot","low","NONCE","postTest","Male",29,4,4,0.365384615384615,"PSEUDO"
"p358","bot","high","NONCE","postTest","Male",23,2,5,0.826923076923077,"PSEUDO"
"p359","bot","low","NONCE","postTest","Male",33,4,5,0.0192307692307692,"PSEUDO"
"p36","human","high","NONCE","postTest","Female",39,5,4,0.576923076923077,"PSEUDO"
"p360","bot","high","NONCE","postTest","Male",39,4,4,0.903846153846154,"PSEUDO"
"p361","bot","high","NONCE","postTest","Female",42,4,4,0.673076923076923,"PSEUDO"
"p362","bot","low","NONCE","postTest","Male",21,5,4,0.0384615384615385,"PSEUDO"
"p363","bot","high","NONCE","postTest","Male",32,5,2,0.442307692307692,"PSEUDO"
"p364","bot","low","NONCE","postTest","Female",54,4,4,0.807692307692308,"PSEUDO"
"p365","bot","low","NONCE","postTest","Male",27,2,3,0.25,"PSEUDO"
"p366","bot","high","NONCE","postTest","Female",39,2,4,0.615384615384615,"PSEUDO"
"p367","bot","low","NONCE","postTest","Male",36,3,4,0.519230769230769,"PSEUDO"
"p368","bot","high","NONCE","postTest","Female",46,4,5,0.846153846153846,"PSEUDO"
"p369","bot","low","NONCE","postTest","Female",50,4,5,0.288461538461538,"PSEUDO"
"p37","human","low","NONCE","postTest","Male",58,5,2,0.846153846153846,"PSEUDO"
"p370","bot","low","NONCE","postTest","Male",34,3,4,0.269230769230769,"PSEUDO"
"p371","bot","high","NONCE","postTest","Male",47,5,4,0.711538461538462,"PSEUDO"
"p372","bot","high","NONCE","postTest","Female",30,4,5,0.653846153846154,"PSEUDO"
"p373","bot","high","NONCE","postTest","Male",27,5,5,0.769230769230769,"PSEUDO"
"p374","bot","high","NONCE","postTest","Male",40,4,4,0.942307692307692,"PSEUDO"
"p375","bot","low","NONCE","postTest","Male",32,5,4,0.596153846153846,"PSEUDO"
"p376","bot","low","NONCE","postTest","Male",46,5,2,0.884615384615385,"PSEUDO"
"p377","bot","low","NONCE","postTest","Female",30,5,5,0.615384615384615,"PSEUDO"
"p379","bot","low","NONCE","postTest","Female",67,4,3,0.346153846153846,"PSEUDO"
"p38","human","high","NONCE","postTest","Male",43,5,5,0.692307692307692,"PSEUDO"
"p380","bot","high","NONCE","postTest","Male",47,3,4,0.711538461538462,"PSEUDO"
"p381","bot","high","NONCE","postTest","Female",37,4,5,0.653846153846154,"PSEUDO"
"p382","bot","low","NONCE","postTest","Male",37,5,4,0.134615384615385,"PSEUDO"
"p383","bot","low","NONCE","postTest","Male",36,4,3,0.557692307692308,"PSEUDO"
"p384","bot","low","NONCE","postTest","Female",24,3,4,0.346153846153846,"PSEUDO"
"p385","bot","high","NONCE","postTest","Female",51,5,5,0.269230769230769,"PSEUDO"
"p386","bot","low","NONCE","postTest","Female",37,4,5,0.211538461538462,"PSEUDO"
"p387","bot","high","NONCE","postTest","Male",24,4,4,0.538461538461538,"PSEUDO"
"p388","bot","high","NONCE","postTest","Male",35,5,5,0.807692307692308,"PSEUDO"
"p389","bot","low","NONCE","postTest","Female",26,4,4,0.365384615384615,"PSEUDO"
"p39","human","high","NONCE","postTest","Male",28,2,5,0.557692307692308,"PSEUDO"
"p390","bot","high","NONCE","postTest","Male",29,5,3,0.557692307692308,"PSEUDO"
"p391","bot","high","NONCE","postTest","Female",36,4,3,0.846153846153846,"PSEUDO"
"p392","bot","high","NONCE","postTest","Male",33,5,4,0.769230769230769,"PSEUDO"
"p393","bot","low","NONCE","postTest","Male",28,4,4,0.634615384615385,"PSEUDO"
"p394","bot","low","NONCE","postTest","Female",26,3,1,0.423076923076923,"PSEUDO"
"p395","bot","high","NONCE","postTest","Male",34,4,5,0.788461538461538,"PSEUDO"
"p396","bot","low","NONCE","postTest","Female",33,5,3,0.653846153846154,"PSEUDO"
"p397","bot","low","NONCE","postTest","Male",22,4,3,0.288461538461538,"PSEUDO"
"p398","bot","low","NONCE","postTest","Male",29,3,5,0.480769230769231,"PSEUDO"
"p399","bot","high","NONCE","postTest","Female",45,4,4,0.923076923076923,"PSEUDO"
"p40","human","high","NONCE","postTest","Female",38,1,5,0.692307692307692,"PSEUDO"
