"gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular","participant"
"Male",1985,"pretest","glilled","glilt","burnt","sensible",0.269,"decrease",0.673,"glilt",FALSE,"s6111"
"Male",1985,"pretest","pleeled","plelt","kept","sensible",0.269,"decrease",0.574,"pleeled",TRUE,"s6111"
"Male",1985,"pretest","dwimmed","dwam","sang","sensible",0.269,"decrease",0.515,"dwam",FALSE,"s6111"
"Male",1985,"pretest","pringed","prang","sang","sensible",0.269,"decrease",0.465,"prang",FALSE,"s6111"
"Male",1985,"pretest","klilled","klilt","burnt","sensible",0.269,"decrease",0.693,"klilled",TRUE,"s6111"
"Male",1985,"pretest","gurned","gurnt","burnt","sensible",0.269,"decrease",0.708,"gurnt",FALSE,"s6111"
"Male",1985,"pretest","pited","pote","drove","sensible",0.269,"decrease",0.629,"pited",TRUE,"s6111"
"Male",1985,"pretest","splided","splode","drove","sensible",0.269,"decrease",0.475,"splided",TRUE,"s6111"
"Male",1985,"pretest","skrilled","skrilt","burnt","sensible",0.269,"decrease",0.733,"skrilt",FALSE,"s6111"
"Male",1985,"pretest","theeped","thept","kept","sensible",0.269,"decrease",0.416,"thept",FALSE,"s6111"
"Male",1985,"pretest","vurned","vurnt","burnt","sensible",0.269,"decrease",0.668,"vurned",TRUE,"s6111"
"Male",1985,"pretest","squided","squode","drove","sensible",0.269,"decrease",0.406,"squode",FALSE,"s6111"
"Male",1985,"pretest","chimmed","cham","sang","sensible",0.269,"decrease",0.743,"chimmed",TRUE,"s6111"
"Male",1985,"pretest","squited","squote","drove","sensible",0.269,"decrease",0.505,"squote",FALSE,"s6111"
"Male",1985,"pretest","neemed","nemt","kept","sensible",0.269,"decrease",0.658,"nemt",FALSE,"s6111"
"Male",1985,"pretest","spinged","spang","sang","sensible",0.269,"decrease",0.401,"spang",FALSE,"s6111"
"Male",1985,"pretest","brived","brove","drove","sensible",0.269,"decrease",0.391,"brove",FALSE,"s6111"
"Male",1985,"pretest","sninked","snank","sang","sensible",0.269,"decrease",0.421,"snank",FALSE,"s6111"
"Male",1985,"pretest","jurned","jurnt","burnt","sensible",0.269,"decrease",0.718,"jurned",TRUE,"s6111"
"Male",1985,"pretest","squeeped","squept","kept","sensible",0.269,"decrease",0.52,"squeeped",TRUE,"s6111"
