"subject"	"condition"	"correct"	"correctAnswer"	"subj.gender"	"interlocutor"	"phase"	"promptImage"	"promptName"	"selection"	"targetImage"	"targetWord1"	"targetWord2"	"subj.yob"	"subject.age"	"trialNumber"
"s1001"	"nonsocial"	TRUE	"wunrul"	"Female"	"female_side"	"test"	"chair_large"	"wun"	"wunrul"	"chair_dimin"	"wunfen"	"wunrul"	1990	24	43
"s1001"	"nonsocial"	TRUE	"wunrul"	"Female"	"male_side"	"test"	"chair_large"	"wun"	"wunrul"	"chair_dimin"	"wunfen"	"wunrul"	1990	24	44
"s1001"	"nonsocial"	TRUE	"wanfen"	"Female"	"male"	"test"	"fox_large_male"	"wan"	"wanfen"	"fox_dimin"	"wanfen"	"wanrul"	1990	24	45
"s1001"	"nonsocial"	FALSE	"rikrul"	"Female"	"male_side"	"test"	"bear_large_male"	"rik"	"rikfen"	"bear_dimin"	"rikfen"	"rikrul"	1990	24	46
"s1001"	"nonsocial"	TRUE	"wanfen"	"Female"	"female"	"test"	"fox_large_male"	"wan"	"wanfen"	"fox_dimin"	"wanfen"	"wanrul"	1990	24	47
"s1001"	"nonsocial"	FALSE	"falfen"	"Female"	"male"	"test"	"gate_large"	"fal"	"falrul"	"gate_dimin"	"falfen"	"falrul"	1990	24	48
"s1002"	"nonsocial"	TRUE	"tolwan"	"Female"	"male"	"test"	"bear_large_male"	"tol"	"tolwan"	"bear_dimin"	"tolwan"	"tolrul"	1959	55	1
"s1002"	"nonsocial"	TRUE	"fiswan"	"Female"	"male"	"test"	"bokchoy_large"	"fis"	"fiswan"	"bokchoy_dimin"	"fiswan"	"fisrul"	1959	55	2
"s1002"	"nonsocial"	TRUE	"rikwan"	"Female"	"male"	"test"	"candleholder_large"	"rik"	"rikwan"	"candleholder_dimin"	"rikwan"	"rikrul"	1959	55	3
"s1002"	"nonsocial"	FALSE	"fiswan"	"Female"	"female"	"test"	"bokchoy_large"	"fis"	"fisrul"	"bokchoy_dimin"	"fiswan"	"fisrul"	1959	55	4
"s1002"	"nonsocial"	TRUE	"fisrul"	"Female"	"female_side"	"test"	"bokchoy_large"	"fis"	"fisrul"	"bokchoy_dimin"	"fiswan"	"fisrul"	1959	55	5
"s1002"	"nonsocial"	TRUE	"falwan"	"Female"	"male"	"test"	"pitcher_large"	"fal"	"falwan"	"pitcher_dimin"	"falwan"	"falrul"	1959	55	6
