"subject","trialNumber","condition","correct","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","subject.gender","subject.age","phase"
"s1384",3,"linguistic",FALSE,"wekpek","male","mushroom_large","wek","mushroom_dimin","wekpek","wekpak","wekpak","Male",29,"training"
"s1384",4,"linguistic",TRUE,"wekpek","male","mushroom_large","wek","mushroom_dimin","wekpek","wekpak","wekpek","Male",29,"training"
"s1384",5,"linguistic",FALSE,"falpak","female","fox_large_male","fal","fox_dimin","falpek","falpak","falpek","Male",29,"training"
"s1384",6,"linguistic",TRUE,"wekpek","male","mushroom_large","wek","mushroom_dimin","wekpek","wekpak","wekpek","Male",29,"training"
"s1384",7,"linguistic",TRUE,"falpak","female","fox_large_male","fal","fox_dimin","falpek","falpak","falpak","Male",29,"training"
"s1384",8,"linguistic",TRUE,"tekpek","male","gate_large","tek","gate_dimin","tekpek","tekpak","tekpek","Male",29,"training"
"s1384",9,"linguistic",TRUE,"wekpek","female","mushroom_large","wek","mushroom_dimin","wekpek","wekpak","wekpek","Male",29,"training"
"s1384",10,"linguistic",TRUE,"falpak","female_side","fox_large_male","fal","fox_dimin","falpek","falpak","falpak","Male",29,"training"
"s1384",11,"linguistic",TRUE,"falpak","male_side","fox_large_male","fal","fox_dimin","falpek","falpak","falpak","Male",29,"training"
"s1384",12,"linguistic",FALSE,"ralpak","male","chair_large","ral","chair_dimin","ralpek","ralpak","ralpek","Male",29,"training"
"s1384",13,"linguistic",FALSE,"falpak","male_side","fox_large_male","fal","fox_dimin","falpek","falpak","falpek","Male",29,"training"
"s1384",14,"linguistic",TRUE,"falpak","female_side","fox_large_male","fal","fox_dimin","falpek","falpak","falpak","Male",29,"training"
"s1384",15,"linguistic",FALSE,"falpak","male_side","fox_large_male","fal","fox_dimin","falpek","falpak","falpek","Male",29,"training"
"s1384",16,"linguistic",TRUE,"falpak","female_side","fox_large_male","fal","fox_dimin","falpek","falpak","falpak","Male",29,"training"
"s1384",17,"linguistic",TRUE,"falpak","male_side","fox_large_male","fal","fox_dimin","falpek","falpak","falpak","Male",29,"training"
"s1384",18,"linguistic",TRUE,"ralpak","male","chair_large","ral","chair_dimin","ralpek","ralpak","ralpak","Male",29,"training"
"s1384",19,"linguistic",TRUE,"tekpek","male_side","gate_large","tek","gate_dimin","tekpek","tekpak","tekpek","Male",29,"training"
"s1384",20,"linguistic",TRUE,"ralpak","female_side","chair_large","ral","chair_dimin","ralpek","ralpak","ralpak","Male",29,"training"
"s1384",21,"linguistic",TRUE,"wenpek","male_side","bear_large_male","wen","bear_dimin","wenpek","wenpak","wenpek","Male",29,"training"
"s1384",22,"linguistic",TRUE,"ralpak","male_side","chair_large","ral","chair_dimin","ralpek","ralpak","ralpak","Male",29,"training"
"s1384",23,"linguistic",TRUE,"wenpek","female_side","candleholder_large","wen","candleholder_dimin","wenpek","wenpak","wenpek","Male",29,"training"
"s1384",24,"linguistic",TRUE,"wenpek","female","bear_large_male","wen","bear_dimin","wenpek","wenpak","wenpek","Male",29,"training"
"s1384",25,"linguistic",TRUE,"tekpek","female_side","gate_large","tek","gate_dimin","tekpek","tekpak","tekpek","Male",29,"training"
"s1384",26,"linguistic",TRUE,"wenpek","female_side","bear_large_male","wen","bear_dimin","wenpek","wenpak","wenpek","Male",29,"training"
"s1384",27,"linguistic",TRUE,"tekpek","female","gate_large","tek","gate_dimin","tekpek","tekpak","tekpek","Male",29,"training"
"s1384",28,"linguistic",TRUE,"wenpek","male","bear_large_male","wen","bear_dimin","wenpek","wenpak","wenpek","Male",29,"training"
"s1384",29,"linguistic",TRUE,"wekpek","female_side","mushroom_large","wek","mushroom_dimin","wekpek","wekpak","wekpek","Male",29,"training"
"s1384",30,"linguistic",TRUE,"falpak","male","fox_large_male","fal","fox_dimin","falpek","falpak","falpak","Male",29,"training"
"s1384",31,"linguistic",TRUE,"ralpak","female","chair_large","ral","chair_dimin","ralpek","ralpak","ralpak","Male",29,"training"
"s1384",32,"linguistic",TRUE,"wenpek","male","candleholder_large","wen","candleholder_dimin","wenpek","wenpak","wenpek","Male",29,"training"
"s1384",33,"linguistic",TRUE,"wenpek","male_side","candleholder_large","wen","candleholder_dimin","wenpek","wenpak","wenpek","Male",29,"training"
"s1384",34,"linguistic",TRUE,"wenpek","female","candleholder_large","wen","candleholder_dimin","wenpek","wenpak","wenpek","Male",29,"training"
"s1384",35,"linguistic",TRUE,"wekpek","male_side","mushroom_large","wek","mushroom_dimin","wekpek","wekpak","wekpek","Male",29,"training"
"s1385",1,"linguistic",TRUE,"wenpek","male","chair_large","wen","chair_dimin","wenpek","wenpak","wenpek","Male",36,"training"
"s1385",2,"linguistic",TRUE,"wenpek","female","chair_large","wen","chair_dimin","wenpek","wenpak","wenpek","Male",36,"training"
"s1385",3,"linguistic",FALSE,"rakpak","male_side","chair_large","rak","chair_dimin","rakpek","rakpak","rakpek","Male",36,"training"
"s1385",4,"linguistic",TRUE,"wenpek","female","chair_large","wen","chair_dimin","wenpek","wenpak","wenpek","Male",36,"training"
"s1385",5,"linguistic",TRUE,"rakpak","male_side","chair_large","rak","chair_dimin","rakpek","rakpak","rakpak","Male",36,"training"
"s1385",6,"linguistic",FALSE,"wekpek","female_side","fox_large_male","wek","fox_dimin","wekpek","wekpak","wekpak","Male",36,"training"
"s1385",7,"linguistic",TRUE,"rakpak","male_side","chair_large","rak","chair_dimin","rakpek","rakpak","rakpak","Male",36,"training"
"s1385",8,"linguistic",FALSE,"wekpek","female_side","fox_large_male","wek","fox_dimin","wekpek","wekpak","wekpak","Male",36,"training"
"s1385",9,"linguistic",TRUE,"rakpak","male_side","chair_large","rak","chair_dimin","rakpek","rakpak","rakpak","Male",36,"training"
"s1385",10,"linguistic",TRUE,"wekpek","female_side","fox_large_male","wek","fox_dimin","wekpek","wekpak","wekpek","Male",36,"training"
"s1385",11,"linguistic",TRUE,"wekpek","male_side","fox_large_male","wek","fox_dimin","wekpek","wekpak","wekpek","Male",36,"training"
"s1385",12,"linguistic",TRUE,"rakpak","female","chair_large","rak","chair_dimin","rakpek","rakpak","rakpak","Male",36,"training"
"s1385",13,"linguistic",TRUE,"rakpak","female_side","chair_large","rak","chair_dimin","rakpek","rakpak","rakpak","Male",36,"training"
"s1385",14,"linguistic",FALSE,"fanpak","female","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpek","Male",36,"training"
"s1385",15,"linguistic",TRUE,"rakpak","female_side","chair_large","rak","chair_dimin","rakpek","rakpak","rakpak","Male",36,"training"
"s1385",16,"linguistic",TRUE,"fanpak","female","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpak","Male",36,"training"
"s1385",17,"linguistic",FALSE,"fanpak","male_side","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpek","Male",36,"training"
"s1385",18,"linguistic",TRUE,"fanpak","female","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpak","Male",36,"training"
"s1385",19,"linguistic",TRUE,"fanpak","male_side","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpak","Male",36,"training"
"s1385",20,"linguistic",FALSE,"fekpek","male","gate_large","fek","gate_dimin","fekpek","fekpak","fekpak","Male",36,"training"
"s1385",21,"linguistic",TRUE,"fanpak","male_side","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpak","Male",36,"training"
"s1385",22,"linguistic",TRUE,"fekpek","male","gate_large","fek","gate_dimin","fekpek","fekpak","fekpek","Male",36,"training"
"s1385",23,"linguistic",TRUE,"ralpak","female_side","mushroom_large","ral","mushroom_dimin","ralpek","ralpak","ralpak","Male",36,"training"
"s1385",24,"linguistic",TRUE,"ralpak","male","mushroom_large","ral","mushroom_dimin","ralpek","ralpak","ralpak","Male",36,"training"
"s1385",25,"linguistic",TRUE,"ralpak","female","mushroom_large","ral","mushroom_dimin","ralpek","ralpak","ralpak","Male",36,"training"
"s1385",26,"linguistic",TRUE,"wenpek","female_side","chair_large","wen","chair_dimin","wenpek","wenpak","wenpek","Male",36,"training"
"s1385",27,"linguistic",FALSE,"rakpak","male","chair_large","rak","chair_dimin","rakpek","rakpak","rakpek","Male",36,"training"
"s1385",28,"linguistic",TRUE,"wenpek","female_side","chair_large","wen","chair_dimin","wenpek","wenpak","wenpek","Male",36,"training"
"s1385",29,"linguistic",TRUE,"rakpak","male","chair_large","rak","chair_dimin","rakpek","rakpak","rakpak","Male",36,"training"
"s1385",30,"linguistic",TRUE,"ralpak","male_side","mushroom_large","ral","mushroom_dimin","ralpek","ralpak","ralpak","Male",36,"training"
"s1385",31,"linguistic",TRUE,"wekpek","male","fox_large_male","wek","fox_dimin","wekpek","wekpak","wekpek","Male",36,"training"
"s1385",32,"linguistic",FALSE,"fekpek","male_side","gate_large","fek","gate_dimin","fekpek","fekpak","fekpak","Male",36,"training"
"s1385",33,"linguistic",TRUE,"wekpek","male","fox_large_male","wek","fox_dimin","wekpek","wekpak","wekpek","Male",36,"training"
"s1385",34,"linguistic",TRUE,"fekpek","male_side","gate_large","fek","gate_dimin","fekpek","fekpak","fekpek","Male",36,"training"
"s1385",35,"linguistic",FALSE,"wenpek","male_side","chair_large","wen","chair_dimin","wenpek","wenpak","wenpak","Male",36,"training"
"s1385",36,"linguistic",TRUE,"fekpek","male_side","gate_large","fek","gate_dimin","fekpek","fekpak","fekpek","Male",36,"training"
"s1385",37,"linguistic",TRUE,"wenpek","male_side","chair_large","wen","chair_dimin","wenpek","wenpak","wenpek","Male",36,"training"
"s1385",38,"linguistic",TRUE,"fekpek","female_side","gate_large","fek","gate_dimin","fekpek","fekpak","fekpek","Male",36,"training"
"s1385",39,"linguistic",FALSE,"wekpek","female","fox_large_male","wek","fox_dimin","wekpek","wekpak","wekpak","Male",36,"training"
"s1385",40,"linguistic",TRUE,"fekpek","female_side","gate_large","fek","gate_dimin","fekpek","fekpak","fekpek","Male",36,"training"
"s1385",41,"linguistic",TRUE,"wekpek","female","fox_large_male","wek","fox_dimin","wekpek","wekpak","wekpek","Male",36,"training"
