"participant","regular","partnerRegCondition","partnerSensibility","phase","gender","yearOfBirth","age","verb.baseline.reg","irregForm","regForm"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.45,"schmote","schmited"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.54,"zote","zited"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.465,"prang","pringed"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.713,"hurnt","hurned"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.663,"zemt","zeemed"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.599,"gove","geeved"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.658,"jone","jined"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.653,"threlt","threlled"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.579,"smam","smimmed"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.683,"krent","kreened"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.515,"dwam","dwimmed"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.683,"thram","thrimmed"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.609,"glank","glinked"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.475,"splode","splided"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.441,"zept","zeeped"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.629,"pote","pited"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.693,"thurnt","thurned"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.49,"trank","trinked"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.713,"snemt","sneemed"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.46,"shrept","shreeped"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.614,"jank","jinked"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.693,"klilt","klilled"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.693,"gemt","geemed"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.634,"drent","dreened"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.356,"swode","swided"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.421,"splove","splived"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.426,"strote","strited"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.673,"glilt","glilled"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.47,"quode","quided"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.619,"stram","strimmed"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.406,"squode","squided"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.574,"plelt","pleeled"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.614,"slone","slined"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.708,"fram","frimmed"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.723,"jemt","jeemed"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.718,"yilt","yilled"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.431,"snept","sneeped"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.366,"vrote","vrited"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.515,"grang","gringed"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.505,"squote","squited"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.52,"skang","skinged"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.688,"prurnt","prurned"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.401,"spang","spinged"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.411,"thrang","thringed"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.698,"snent","sneened"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.49,"slove","slived"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.668,"vurnt","vurned"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.55,"brept","breeped"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.731,"rurnt","rurned"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.455,"snang","sninged"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.584,"glang","glinged"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.569,"quank","quinked"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.743,"cham","chimmed"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.703,"schmone","schmined"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.421,"snank","sninked"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.708,"gurnt","gurned"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.658,"nemt","neemed"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.49,"splank","splinked"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.545,"chelt","cheeled"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.678,"trelt","trelled"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.416,"thept","theeped"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.673,"femt","feemed"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.733,"zam","zimmed"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.772,"vrilt","vrilled"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.668,"smilt","smilled"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.401,"yode","yided"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.772,"strilt","strilled"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.45,"shang","shinged"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.723,"swurnt","swurned"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.579,"chote","chited"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.647,"nank","ninked"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.475,"swelt","sweeled"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.446,"twote","twited"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.554,"brurnt","brurned"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.678,"premt","preemed"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.584,"glang","glinged"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.639,"spremt","spreemed"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.441,"zept","zeeped"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.411,"thrang","thringed"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.658,"jone","jined"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.698,"surnt","surned"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.619,"glone","glined"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.416,"strank","strinked"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.678,"squone","squined"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.614,"jank","jinked"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.693,"shrent","shreened"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.431,"snept","sneeped"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.678,"trelt","trelled"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.401,"yode","yided"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.515,"blode","blided"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.574,"bove","beeved"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.559,"strone","strined"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.668,"lelt","lelled"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.525,"flelt","fleeled"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.51,"strelt","streeled"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.634,"schmam","schmimmed"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.562,"grelt","greeled"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.594,"twank","twinked"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.663,"zemt","zeemed"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.599,"gove","geeved"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.693,"slilt","slilled"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.46,"shrang","shringed"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.639,"mang","minged"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.599,"skrone","skrined"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.708,"fram","frimmed"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.772,"strilt","strilled"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.698,"snent","sneened"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.515,"grang","gringed"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.559,"twelt","twelled"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.728,"gam","gimmed"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.733,"zam","zimmed"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.688,"sprurnt","sprurned"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.579,"smank","sminked"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.731,"rurnt","rurned"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.713,"hurnt","hurned"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.515,"vrank","vrinked"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.53,"quang","quinged"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.668,"skrurnt","skrurned"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.436,"thode","thided"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.723,"murnt","murned"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.47,"quode","quided"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.639,"zelt","zelled"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.649,"schmemt","schmeemed"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.554,"klelt","kleeled"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.718,"strent","streened"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.733,"chemt","cheemed"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.757,"snurnt","snurned"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.713,"plone","plined"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.663,"nent","neened"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.545,"chelt","cheeled"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.49,"slove","slived"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.629,"gremt","greemed"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.45,"skrank","skrinked"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.584,"skelt","skelled"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.49,"splank","splinked"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.485,"dwang","dwinged"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.485,"skept","skeeped"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.693,"gemt","geemed"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.718,"trurnt","trurned"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.629,"sprelt","sprelled"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.416,"dwode","dwided"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.733,"skurnt","skurned"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.634,"drent","dreened"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.46,"swote","swited"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.644,"snone","snined"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.624,"vank","vinked"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.426,"dwept","dweeped"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.53,"snote","snited"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.653,"drelt","drelled"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.455,"snang","sninged"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.441,"drept","dreeped"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.772,"fam","fimmed"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.45,"schmote","schmited"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.55,"slelt","sleeled"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.748,"drurnt","drurned"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.495,"klode","klided"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.431,"dwank","dwinked"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.421,"splove","splived"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.366,"vrote","vrited"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.569,"quank","quinked"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.743,"chent","cheened"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.693,"thurnt","thurned"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.673,"femt","feemed"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.401,"splang","splinged"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.703,"splurnt","splurned"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.485,"fode","fided"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.47,"grank","grinked"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.644,"stelt","stelled"
