participant,gender,yearOfBirth,phase,weak.past,strong.past,category,partner.prefs,partnerRegRate,partnerRegCondition,item.baseline.reg,response,regular,pretest.mean,age
s6023,Female,1958,posttest,klided,klode,drove,match.baseline,0.654,no.change,0.495,klode,FALSE,0.653846154,57
s6023,Female,1958,posttest,drelled,drelt,burnt,match.baseline,0.654,no.change,0.653,drelt,FALSE,0.653846154,57
s6023,Female,1958,posttest,greemed,gremt,kept,match.baseline,0.654,no.change,0.629,greemed,TRUE,0.653846154,57
s6023,Female,1958,posttest,gimmed,gam,sang,match.baseline,0.654,no.change,0.728,gimmed,TRUE,0.653846154,57
s6023,Female,1958,posttest,splinged,splang,sang,match.baseline,0.654,no.change,0.401,splang,FALSE,0.653846154,57
s6023,Female,1958,posttest,streened,strent,kept,match.baseline,0.654,no.change,0.718,strent,FALSE,0.653846154,57
s6023,Female,1958,posttest,dreeped,drept,kept,match.baseline,0.654,no.change,0.441,drept,FALSE,0.653846154,57
s6023,Female,1958,posttest,sleeled,slelt,kept,match.baseline,0.654,no.change,0.55,slelt,FALSE,0.653846154,57
s6023,Female,1958,posttest,sprurned,sprurnt,burnt,match.baseline,0.654,no.change,0.688,sprurned,TRUE,0.653846154,57
s6023,Female,1958,posttest,grinked,grank,sang,match.baseline,0.654,no.change,0.47,grank,FALSE,0.653846154,57
s6023,Female,1958,posttest,skeeped,skept,kept,match.baseline,0.654,no.change,0.485,skept,FALSE,0.653846154,57
s6023,Female,1958,posttest,dwinged,dwang,sang,match.baseline,0.654,no.change,0.485,dwang,FALSE,0.653846154,57
s6023,Female,1958,posttest,thided,thode,drove,match.baseline,0.654,no.change,0.436,thode,FALSE,0.653846154,57
s6023,Female,1958,posttest,surned,surnt,burnt,match.baseline,0.654,no.change,0.698,surned,TRUE,0.653846154,57
s6023,Female,1958,posttest,glined,glone,drove,match.baseline,0.654,no.change,0.619,glone,FALSE,0.653846154,57
s6023,Female,1958,posttest,trurned,trurnt,burnt,match.baseline,0.654,no.change,0.718,trurned,TRUE,0.653846154,57
s6023,Female,1958,posttest,fided,fode,drove,match.baseline,0.654,no.change,0.485,fode,FALSE,0.653846154,57
s6023,Female,1958,posttest,zelled,zelt,burnt,match.baseline,0.654,no.change,0.639,zelt,FALSE,0.653846154,57
