"Word","Valence.M","Arousal.M","Dominance.M","Word.Frequency","Valence.F","Arousal.F","Dominance.F","Freq.Bin","Freq.Colour","overallV"
"blister",3.48,3.81,4.38,3,2.25,4.4,3.55,"LOW","blue",2.865
"blond",6.64,6.05,6,11,6.2,4,5.45,"MID","darkgreen",6.42
"blossom",7.53,5.67,5.53,7,7.09,4.61,5.52,"MID","darkgreen",7.31
"blubber",3.83,4.56,4.5,1,3.31,4.58,3.42,"LOW","blue",3.57
"blue",7.16,4,5.92,143,6.38,4.62,5.35,"HIGH","red",6.77
"board",4.58,3.26,4.63,239,5,3.56,5.24,"HIGH","red",4.79
"body",5.75,5.6,5.25,276,5.38,5.46,5.42,"HIGH","red",5.565
"bold",6.25,4.75,6.92,21,7,5.94,6.58,"MID","darkgreen",6.625
"bomb",2.7,6.7,4.6,36,1.9,7.31,4.52,"HIGH","red",2.3
"book",5.9,4.15,5.15,193,5.55,4.2,5.45,"HIGH","red",5.725
"bored",2.82,2.88,4.06,14,3.05,2.8,4.15,"MID","darkgreen",2.935
"bottle",6.09,5.45,4.68,76,6.21,4.26,4.89,"HIGH","red",6.15
"bouquet",6.52,5.1,6.24,4,7.55,5.85,6.05,"LOW","blue",7.035
"bowl",4.8,3.4,5,23,5.54,3.5,4.58,"MID","darkgreen",5.17
"boxer",6.12,5.2,5.48,1,4.92,5.04,4.73,"LOW","blue",5.52
"boy",5.4,3.73,4.33,242,6.91,5.13,6,"HIGH","red",6.155
"brave",6.76,5.95,7.14,24,7.55,6.35,7.3,"MID","darkgreen",7.155
"breeze",6.52,4.29,5.57,14,7.2,4.45,5.5,"MID","darkgreen",6.86
"bride",6.7,4.7,5.84,33,7.88,6.25,5.67,"HIGH","red",7.29
"bright",7.05,5.45,6.15,87,7.91,5.62,6.52,"HIGH","red",7.48
"broken",3.5,5.39,4.17,63,2.73,5.46,4.12,"HIGH","red",3.115
"brother",6.83,5.55,5.36,73,7.26,4.3,5,"HIGH","red",7.045
"brutal",3.25,5.65,5.2,7,2.46,7.36,4.12,"MID","darkgreen",2.855
"building",5.56,4.08,5.24,160,5.04,3.77,5.27,"HIGH","red",5.3
"bullet",4.2,5.45,5.2,28,2.45,5.48,2.67,"MID","darkgreen",3.325
"bunny",6.71,4.38,4.88,1,7.7,3.8,5.05,"LOW","blue",7.205
"burdened",2.71,5.46,5.62,4,2.38,5.72,4.72,"LOW","blue",2.545
"burial",2.62,4.64,3.92,11,1.77,5.32,3.36,"MID","darkgreen",2.195
"burn",3.12,6.4,4.52,15,2.35,6.04,3.92,"MID","darkgreen",2.735
"bus",4.72,3.32,5.04,34,4.31,3.77,4.65,"HIGH","red",4.515
"busybody",4.81,4.29,4.57,0,5.52,5.36,6.33,"LOW","blue",5.165
"butter",5.4,3.3,4.5,27,5.31,3.12,4.73,"MID","darkgreen",5.355
"butterfly",6.58,3.45,4.55,2,7.48,3.48,4.7,"LOW","blue",7.03
"cabinet",5.1,3.45,4.7,17,5,3.57,4.76,"MID","darkgreen",5.05
"cake",7.27,5.13,5.2,9,7.26,4.91,5.13,"MID","darkgreen",7.265
"cancer",1.75,6.83,3.33,25,1.41,6.26,3.45,"MID","darkgreen",1.58
"candy",6,4.1,5,16,6.96,4.96,5.58,"MID","darkgreen",6.48
"cane",3.58,4.42,4.47,12,4.36,4,4.09,"MID","darkgreen",3.97
"cannon",5.71,5.14,5.48,7,4.05,4.25,4.85,"MID","darkgreen",4.88
"capable",7,5.6,5.73,66,7.26,4.74,6.96,"HIGH","red",7.13
"car",7.84,5.64,6.6,274,7.62,6.81,7.35,"HIGH","red",7.73
"carcass",4.21,5.11,5.53,7,2.59,4.59,4.36,"MID","darkgreen",3.4
"carefree",7.75,2.67,5.33,9,7.45,4.82,5.96,"MID","darkgreen",7.6
"caress",7.58,4.5,6.08,1,7.94,5.39,5.73,"LOW","blue",7.76
"cash",8.28,7.08,6.76,36,8.46,7.65,7.15,"HIGH","red",8.37
"casino",6.9,6.76,5.14,2,6.71,6.27,5.1,"LOW","blue",6.805
"cat",5.33,4.08,6.54,0,6.08,4.65,5.81,"LOW","blue",5.705
"cell",3.33,3.67,4.12,65,4.27,4.46,4.12,"HIGH","red",3.8
"cellar",4.45,4.3,4.9,26,4.21,4.46,4.46,"MID","darkgreen",4.33
"cemetery",3.42,4.45,4.73,15,2.22,5,4.05,"MID","darkgreen",2.82
"chair",5.3,3.4,4.7,66,5,3.07,4.52,"HIGH","red",5.15
"champ",7.22,6.22,6.28,1,7.15,5.85,7.12,"LOW","blue",7.185
"champion",8.42,4.83,6.08,23,8.45,6.29,6.68,"MID","darkgreen",8.435
"chance",6.42,5.63,4.74,131,5.72,5.4,4.58,"HIGH","red",6.07
"chaos",4.5,6.3,4,17,3.86,7,3.73,"MID","darkgreen",4.18
"charm",6.67,5.47,5.87,26,6.83,5,5.41,"MID","darkgreen",6.75
"cheer",7.7,5.95,5.55,8,8.5,6.3,6.45,"MID","darkgreen",8.1
"child",6.15,5.75,5.35,213,8,5.35,4.85,"HIGH","red",7.075
"chin",5.36,3.64,5.41,27,5.2,2.95,5.1,"MID","darkgreen",5.28
"chocolate",6.8,4.88,5.36,9,6.96,5.69,5,"MID","darkgreen",6.88
"christmas",7.58,6.05,5.37,27,7.96,6.42,5.38,"MID","darkgreen",7.77
"church",5.29,4.69,4.62,348,6.81,4.16,5.2,"HIGH","red",6.05
"circle",5.3,3.65,5.16,60,6,4.24,4.9,"HIGH","red",5.65
"circus",6.76,5.38,5,7,7.75,6.45,5.7,"MID","darkgreen",7.255
"city",5.67,4.53,4.53,393,6.26,5.7,6.52,"HIGH","red",5.965
"cliff",4.96,5.88,5.04,11,4.38,6.62,3.69,"MID","darkgreen",4.67
"clock",4.86,3.95,4.59,20,5.45,4.1,4.75,"MID","darkgreen",5.155
"clothing",5.93,4.15,5.33,20,6.88,5.12,5.33,"MID","darkgreen",6.405
"clouds",6.42,3.46,5.46,38,5.96,3.15,5,"HIGH","red",6.19
"clumsy",4.06,4.78,4.06,6,3.96,5.46,3.73,"LOW","blue",4.01
"coarse",4.65,4.5,5.05,10,4.45,4.14,4.95,"MID","darkgreen",4.55
"coast",6.06,4.83,5.71,61,5.92,4.42,5.65,"HIGH","red",5.99
"cockroach",3.73,5.33,5.47,2,2.38,6.47,4.41,"LOW","blue",3.055
"coffin",3,4.3,4.2,7,2.41,5.28,4.03,"MID","darkgreen",2.705
"coin",5.76,4.48,5.86,10,6.3,4.1,5.45,"MID","darkgreen",6.03
"cold",3.9,5.4,4.65,171,4.14,5,4.73,"HIGH","red",4.02
"color",7.05,4.63,6.32,141,7,4.82,6.05,"HIGH","red",7.025
"column",5.15,3.7,5.25,71,5.18,3.55,4.41,"HIGH","red",5.165
"comedy",8,6.36,4.82,39,8.57,5.61,5.74,"HIGH","red",8.285
"comfort",6.45,4.35,5.7,43,7.61,3.74,5.7,"HIGH","red",7.03
"computer",6.12,4.52,5.08,13,6.35,4.96,5.5,"MID","darkgreen",6.235
"concentrate",4.83,4.73,4.82,11,5.39,4.61,5.04,"MID","darkgreen",5.11
"confident",7.73,6.53,7.2,16,8.12,6.04,7.96,"MID","darkgreen",7.925
"confused",3.27,5.55,4.33,44,3.17,6.27,4.18,"HIGH","red",3.22
"consoled",5.71,4.94,4.81,2,5.85,4.2,4.15,"LOW","blue",5.78
"contempt",4.2,4.9,5.5,15,3.72,5.41,5,"MID","darkgreen",3.96
"contents",4.73,4.07,4.87,16,4.97,4.44,4.84,"MID","darkgreen",4.85
"context",5.2,4.35,4.9,2,5.19,4.12,5.38,"LOW","blue",5.195
"controlling",4.53,5.6,6.07,23,3.38,6.38,4.65,"MID","darkgreen",3.955
"cook",6.05,4.21,5.42,47,6.24,4.62,4.92,"HIGH","red",6.145
"cord",4.95,3.84,5,6,5.23,3.27,5,"LOW","blue",5.09
"cork",5.16,3.89,4.89,9,5.27,3.73,5.05,"MID","darkgreen",5.215
"corner",4.33,3.62,3.86,115,4.38,4.38,4.36,"HIGH","red",4.355
"corpse",2.5,4.2,2.6,7,2.07,4.93,3.93,"MID","darkgreen",2.285
"corridor",4.86,3.62,5.1,17,4.9,3.65,4.9,"MID","darkgreen",4.88
"corrupt",4.15,5.05,4.9,8,2.52,4.52,4.41,"MID","darkgreen",3.335
"cottage",5.87,4.2,4.93,19,6.83,2.87,5.7,"MID","darkgreen",6.35
"couple",6.84,5.36,6.08,122,7.96,7.38,5.96,"HIGH","red",7.4
"cow",5.72,3.12,5.8,29,5.42,3.85,4.84,"MID","darkgreen",5.57
"coward",2.75,3.9,2.75,8,2.73,4.23,2.91,"MID","darkgreen",2.74
"cozy",7.53,3.73,4.67,1,7.3,3.04,5.04,"LOW","blue",7.415
"crash",2.6,7,4,20,2.21,6.93,3.24,"MID","darkgreen",2.405
"crime",3.55,5,4.68,34,2.33,5.75,3.67,"HIGH","red",2.94
"criminal",3.25,3.86,3.65,24,2.62,5.68,3.05,"MID","darkgreen",2.935
"crisis",4.17,4.89,4.72,82,1.72,6.08,2.75,"HIGH","red",2.945
"crown",6.2,3.4,5.1,19,6.73,4.62,6.42,"MID","darkgreen",6.465
"crucify",2.53,5.8,3.8,2,2.09,6.78,3.72,"LOW","blue",2.31
"crude",3.74,5,4.84,15,2.59,5.14,3.77,"MID","darkgreen",3.165
"cruel",2.64,5.27,4.93,15,1.57,5.96,3.78,"MID","darkgreen",2.105
"crushed",2.83,5.73,4.73,10,1.86,5.41,2.68,"MID","darkgreen",2.345
"crutch",3.94,4.5,3.67,1,3.08,3.88,4.08,"LOW","blue",3.51
"cuddle",7.3,5.1,5.75,0,8.15,3.7,5.95,"LOW","blue",7.725
"cuisine",6.89,4.83,5.5,1,6.46,4.08,5.35,"LOW","blue",6.675
"curious",6.8,5.8,5.7,46,5.82,5.82,5.32,"HIGH","red",6.31
"curtains",5,3.65,5.11,8,4.68,3.68,5,"MID","darkgreen",4.84
"custom",5.53,4.67,4.87,14,6.04,4.65,5.08,"MID","darkgreen",5.785
"cut",3.7,4.75,4.9,192,3.58,5.21,4.54,"HIGH","red",3.64
"cute",7.24,6.38,4.88,5,7.95,4.85,4.85,"LOW","blue",7.595
"cyclone",4.35,6.2,5.1,0,3,6.48,4.72,"LOW","blue",3.675
"dagger",4.53,5.47,4.47,1,2.6,6.58,4.56,"LOW","blue",3.565
"damage",3.7,5.05,4.2,33,2.45,6.05,3.59,"HIGH","red",3.075
"dancer",6.8,5.32,5.64,31,7.46,6.65,6.38,"HIGH","red",7.13
"danger",4.56,7.17,4.56,70,1.85,7.42,2.92,"HIGH","red",3.205
"dark",4.9,4.48,4.38,185,4.52,4.29,5.27,"HIGH","red",4.71
"dawn",6.1,4.35,4.95,28,6.21,4.42,5.33,"MID","darkgreen",6.155
"daylight",6.56,5.17,5.61,15,6.96,4.5,5.38,"MID","darkgreen",6.76
"dazzle",7.33,6.38,5.19,1,7.24,6.27,6.05,"LOW","blue",7.285
"dead",2.48,5.4,2.96,174,1.42,6.04,2.73,"HIGH","red",1.95
"death",1.69,4.41,4.62,277,1.55,4.75,2.55,"HIGH","red",1.62
"debt",2.4,4.33,3,13,2.12,6.46,3.04,"MID","darkgreen",2.26
"deceit",3.26,5.63,4.63,2,2.57,6,3.33,"LOW","blue",2.915
"decompose",3.95,4.2,4.45,1,2.62,5,3.69,"LOW","blue",3.285
"decorate",6.5,5,5.9,2,7.32,5.52,6.19,"LOW","blue",6.91
"defeated",2.42,4.35,3,15,2.28,5.65,3.19,"MID","darkgreen",2.35
"defiant",4.64,5.27,4.91,3,4.11,6.41,6.11,"LOW","blue",4.375
"deformed",2.95,3.62,4.29,0,1.85,4.55,3.6,"LOW","blue",2.4
"delayed",3.15,5.1,3.4,25,3,6.09,3.86,"MID","darkgreen",3.075
"delight",7.92,5.73,5.09,29,8.43,5.3,6.13,"MID","darkgreen",8.175
"demon",3.2,5.93,5.07,9,1.39,7.32,4.78,"MID","darkgreen",2.295
"dentist",3.56,5.6,3.6,12,4.46,5.85,4,"MID","darkgreen",4.01
"depressed",2.33,4,2.87,11,1.58,5.06,2.68,"MID","darkgreen",1.955
"depression",2.6,4.55,2.9,24,1.27,4.54,2.92,"MID","darkgreen",1.935
"derelict",4.45,4.1,4.95,1,4.1,4.09,4.62,"LOW","blue",4.275
"deserter",3.53,4.8,4.8,0,1.9,5.86,3.24,"LOW","blue",2.715
"desire",7.72,7.24,6.2,79,7.65,7.46,6.77,"HIGH","red",7.685
"despairing",2.93,5.6,4.07,4,2.19,5.72,3.12,"LOW","blue",2.56
"despise",2.08,5.86,5.38,7,2,6.52,4.38,"MID","darkgreen",2.04
"destroy",4,6.3,6.1,48,2.12,7.04,4.5,"HIGH","red",3.06
"destruction",4.78,6.17,5.11,38,2.04,5.58,3.12,"HIGH","red",3.41
"detached",3.82,4.19,3.73,12,3.88,4.31,3.58,"MID","darkgreen",3.85
"detail",5.73,4.36,5.45,72,5.35,3.8,4.95,"HIGH","red",5.54
"detest",2.8,5.8,5.8,1,1.92,6.15,5.85,"LOW","blue",2.36
"devil",2.59,5.06,5.82,25,1.96,6.76,5.04,"MID","darkgreen",2.275
"devoted",7.1,5.7,4.9,51,7.52,5.07,6.62,"HIGH","red",7.31
"diamond",7.92,5,5.36,8,7.92,5.8,5.64,"MID","darkgreen",7.92
"dignified",6.82,3.41,6.06,7,7.29,4.62,6.15,"MID","darkgreen",7.055
"dinner",7.48,5.52,6.48,91,6.85,5.35,5.73,"HIGH","red",7.165
"diploma",7.64,5.64,6.42,0,8.18,5.68,6.95,"LOW","blue",7.91
"dirt",4.41,3.41,4.95,43,3.9,4.15,4.7,"HIGH","red",4.155
"dirty",3.88,5.21,4.83,36,2.35,4.58,4.58,"HIGH","red",3.115
"disappoint",2.6,4.6,3.53,0,2.26,5.13,3.13,"LOW","blue",2.43
"disaster",2.25,6.05,3.65,26,1.2,6.6,3.4,"MID","darkgreen",1.725
"discomfort",2.41,3.73,3.68,7,1.95,4.65,4.05,"MID","darkgreen",2.18
"discouraged",3,4,3.2,15,3,4.87,3.87,"MID","darkgreen",3
"disdainful",3.93,4.67,4.87,2,3.56,5.22,4.41,"LOW","blue",3.745
"disgusted",2.6,4.47,4.8,6,2.35,6.04,4.04,"LOW","blue",2.475
"disloyal",2.38,5.82,4.81,2,1.65,7.04,3.15,"LOW","blue",2.015
"displeased",2.76,4.81,4.75,7,2.81,6.15,3.85,"MID","darkgreen",2.785
"distressed",2,6.42,5,4,1.91,6.39,3.17,"LOW","blue",1.955
"disturb",3.67,5.72,4.06,10,3.65,5.85,4.88,"MID","darkgreen",3.66
"diver",6.6,4.96,5.2,1,6.31,5.12,4.88,"LOW","blue",6.455
"divorce",2.4,5.3,3.75,29,2.08,7.16,2.88,"MID","darkgreen",2.24
"doctor",4.67,5.53,5.07,100,5.48,6.04,4.79,"HIGH","red",5.075
"dog",7.68,5.4,6.44,75,7.46,6.12,6.08,"HIGH","red",7.57
"doll",5.05,3.37,4.16,10,6.88,4.88,4.96,"MID","darkgreen",5.965
"dollar",7.24,6.43,6.86,46,7.74,6,5.74,"HIGH","red",7.49
"door",5.16,4.32,4.79,312,5.12,3.42,4.62,"HIGH","red",5.14
"dove",6.45,4.55,6,4,7.32,3.09,5,"LOW","blue",6.885
"dreadful",2.38,5.71,5.06,10,2.19,5.92,3.5,"MID","darkgreen",2.285
"dream",6.47,4.42,4.84,64,6.92,4.62,6.04,"HIGH","red",6.695
"dreary",3.24,3.05,3.81,6,2.86,2.91,3.81,"LOW","blue",3.05
"dress",5.87,4.67,4.6,67,6.77,3.65,5.26,"HIGH","red",6.32
"drown",1.96,6.68,2.76,3,1.88,6.46,2.96,"LOW","blue",1.92
"dummy",3,4.38,3.48,3,3.76,4.32,3.86,"LOW","blue",3.38
"dump",3.71,4.38,4.05,4,2.73,4.05,3.62,"LOW","blue",3.22
"dustpan",4.24,3.36,5.4,0,3.73,3.5,5.5,"LOW","blue",3.985
"earth",6.79,4.08,6.69,150,7.35,4.32,5.04,"HIGH","red",7.07
"easy",7.09,5.55,7.18,125,7.11,3.47,6.79,"HIGH","red",7.1
"easygoing",6.75,4,5.08,1,7.38,4.43,5.32,"LOW","blue",7.065
"eat",8,6.6,6,61,7.05,5,5.3,"HIGH","red",7.525
"ecstasy",8.14,7.82,7.1,6,7.8,6.9,6.25,"LOW","blue",7.97
"education",6.55,5.6,5.85,214,6.8,5.85,6.38,"HIGH","red",6.675
"egg",5.11,3.63,4.26,12,5.42,4,4.67,"MID","darkgreen",5.265
"elated",7.47,6.2,5.53,3,7.43,6.22,5.52,"LOW","blue",7.45
"elbow",4.9,3.7,4.8,10,5.32,4.1,4.95,"MID","darkgreen",5.11
"elegant",7.08,4.92,5.5,14,7.56,4.39,6.13,"MID","darkgreen",7.32
"elevator",5.1,3.57,4,12,5.76,4.73,4.62,"MID","darkgreen",5.43
"embarrassed",3.93,5.87,3.47,8,2.43,5.87,2.48,"MID","darkgreen",3.18
"embattled",5,5.9,5.1,1,4.15,5.15,4.69,"LOW","blue",4.575
"employment",5.73,5.33,4.6,47,6.72,5.2,6.02,"HIGH","red",6.225
"engaged",7.33,6.07,6.2,47,8.34,7.14,6.64,"HIGH","red",7.835
"engine",5.27,4.93,5.13,50,5.09,3.66,4.97,"HIGH","red",5.18
"enjoyment",7.7,5.7,6.35,21,7.88,4.8,6.54,"MID","darkgreen",7.79
"ennui",5.17,3.92,5,0,5.06,4.58,4.55,"LOW","blue",5.115
"enraged",2.3,7.9,7.7,1,2.52,8,5.86,"LOW","blue",2.41
"errand",4.36,4,5.62,7,4.88,4.08,4.24,"MID","darkgreen",4.62
"event",6.41,5.59,5.73,81,6,4.55,5.3,"HIGH","red",6.205
"evil",4.33,6.56,6.17,72,2.46,6.27,4.62,"HIGH","red",3.395
"excellence",8.3,4.7,7.4,15,8.41,5.83,7.24,"MID","darkgreen",8.355
"excitement",6.87,6.93,5.6,32,7.83,8.07,6.48,"HIGH","red",7.35
"excuse",3.82,4.88,3.71,27,4.19,4.2,4.32,"MID","darkgreen",4.005
"execution",3.27,5.53,4.27,15,1.78,5.83,4,"MID","darkgreen",2.525
"exercise",6.93,7.13,6.07,58,7.26,6.65,5.43,"HIGH","red",7.095
"fabric",5.21,3.95,4.79,15,5.38,4.32,5.24,"MID","darkgreen",5.295
"face",6.12,4.76,5.28,371,6.65,5.31,6.04,"HIGH","red",6.385
"failure",2.27,4,2.67,89,1.36,5.52,2.24,"HIGH","red",1.815
"fall",3.86,4.81,4.29,147,4.32,4.81,3.71,"HIGH","red",4.09
"FALSE",3.24,3.27,4.38,29,3.3,3.6,3.8,"MID","darkgreen",3.27
"fame",7.92,5.17,6.5,18,7.93,7.14,7,"MID","darkgreen",7.925
"family",7.5,5,6,331,7.77,4.64,6,"HIGH","red",7.635
"famous",7.39,6.11,6.61,89,6.69,5.68,6.12,"HIGH","red",7.04
"fantasy",7.39,6,6.72,14,7.42,4.54,6.23,"MID","darkgreen",7.405
"farm",5.4,3.6,5.68,125,5.65,4.19,5.5,"HIGH","red",5.525
"fascinate",7.13,6.07,5.67,3,7.44,5.72,6.38,"LOW","blue",7.285
"fat",2.94,2.82,5.56,60,1.75,6.5,3.6,"HIGH","red",2.345
"father",6.8,5.47,3.8,383,7.26,6.22,6.83,"HIGH","red",7.03
"fatigued",3.56,2.69,4.35,3,3.05,2.6,3.3,"LOW","blue",3.305
"fault",3.14,3.73,4.09,22,3.75,4.45,3.95,"MID","darkgreen",3.445
"favor",6.58,4.89,5.44,78,6.36,4.23,5.86,"HIGH","red",6.47
"fear",3.75,6.71,3.88,127,1.85,7.19,2.62,"HIGH","red",2.8
"fearful",2.1,5.5,3.5,13,2.31,6.65,3.69,"MID","darkgreen",2.205
"feeble",3.59,3.94,2.88,8,3.04,4.2,2.6,"MID","darkgreen",3.315
