"Word","Valence","Arousal","Dominance","Word.Frequency","gender"
"bored",3.05,2.8,4.15,14,"female"
"bottle",6.21,4.26,4.89,76,"female"
"bouquet",7.55,5.85,6.05,4,"female"
"bowl",5.54,3.5,4.58,23,"female"
"boxer",4.92,5.04,4.73,1,"female"
"boy",6.91,5.13,6,242,"female"
"brave",7.55,6.35,7.3,24,"female"
"breeze",7.2,4.45,5.5,14,"female"
"bride",7.88,6.25,5.67,33,"female"
"bright",7.91,5.62,6.52,87,"female"
"broken",2.73,5.46,4.12,63,"female"
"brother",7.26,4.3,5,73,"female"
"brutal",2.46,7.36,4.12,7,"female"
"building",5.04,3.77,5.27,160,"female"
"bullet",2.45,5.48,2.67,28,"female"
"bunny",7.7,3.8,5.05,1,"female"
"burdened",2.38,5.72,4.72,4,"female"
"burial",1.77,5.32,3.36,11,"female"
"burn",2.35,6.04,3.92,15,"female"
"bus",4.31,3.77,4.65,34,"female"
"busybody",5.52,5.36,6.33,0,"female"
"butter",5.31,3.12,4.73,27,"female"
"butterfly",7.48,3.48,4.7,2,"female"
"cabinet",5,3.57,4.76,17,"female"
"cake",7.26,4.91,5.13,9,"female"
"cancer",1.41,6.26,3.45,25,"female"
"candy",6.96,4.96,5.58,16,"female"
"cane",4.36,4,4.09,12,"female"
"cannon",4.05,4.25,4.85,7,"female"
"capable",7.26,4.74,6.96,66,"female"
"car",7.62,6.81,7.35,274,"female"
"carcass",2.59,4.59,4.36,7,"female"
"carefree",7.45,4.82,5.96,9,"female"
"caress",7.94,5.39,5.73,1,"female"
"cash",8.46,7.65,7.15,36,"female"
"casino",6.71,6.27,5.1,2,"female"
"cat",6.08,4.65,5.81,0,"female"
"cell",4.27,4.46,4.12,65,"female"
"cellar",4.21,4.46,4.46,26,"female"
"cemetery",2.22,5,4.05,15,"female"
"chair",5,3.07,4.52,66,"female"
"champ",7.15,5.85,7.12,1,"female"
"champion",8.45,6.29,6.68,23,"female"
"chance",5.72,5.4,4.58,131,"female"
"chaos",3.86,7,3.73,17,"female"
"charm",6.83,5,5.41,26,"female"
"cheer",8.5,6.3,6.45,8,"female"
"child",8,5.35,4.85,213,"female"
"chin",5.2,2.95,5.1,27,"female"
"chocolate",6.96,5.69,5,9,"female"
"christmas",7.96,6.42,5.38,27,"female"
"church",6.81,4.16,5.2,348,"female"
"circle",6,4.24,4.9,60,"female"
"circus",7.75,6.45,5.7,7,"female"
"city",6.26,5.7,6.52,393,"female"
"cliff",4.38,6.62,3.69,11,"female"
"clock",5.45,4.1,4.75,20,"female"
"clothing",6.88,5.12,5.33,20,"female"
"clouds",5.96,3.15,5,38,"female"
"clumsy",3.96,5.46,3.73,6,"female"
"coarse",4.45,4.14,4.95,10,"female"
"coast",5.92,4.42,5.65,61,"female"
"cockroach",2.38,6.47,4.41,2,"female"
"coffin",2.41,5.28,4.03,7,"female"
"coin",6.3,4.1,5.45,10,"female"
"cold",4.14,5,4.73,171,"female"
"color",7,4.82,6.05,141,"female"
"column",5.18,3.55,4.41,71,"female"
"comedy",8.57,5.61,5.74,39,"female"
"comfort",7.61,3.74,5.7,43,"female"
"computer",6.35,4.96,5.5,13,"female"
"concentrate",5.39,4.61,5.04,11,"female"
"confident",8.12,6.04,7.96,16,"female"
"confused",3.17,6.27,4.18,44,"female"
"consoled",5.85,4.2,4.15,2,"female"
"contempt",3.72,5.41,5,15,"female"
"contents",4.97,4.44,4.84,16,"female"
"context",5.19,4.12,5.38,2,"female"
"controlling",3.38,6.38,4.65,23,"female"
"cook",6.24,4.62,4.92,47,"female"
"cord",5.23,3.27,5,6,"female"
"cork",5.27,3.73,5.05,9,"female"
"corner",4.38,4.38,4.36,115,"female"
"corpse",2.07,4.93,3.93,7,"female"
"corridor",4.9,3.65,4.9,17,"female"
"corrupt",2.52,4.52,4.41,8,"female"
"cottage",6.83,2.87,5.7,19,"female"
"couple",7.96,7.38,5.96,122,"female"
"cow",5.42,3.85,4.84,29,"female"
"coward",2.73,4.23,2.91,8,"female"
"cozy",7.3,3.04,5.04,1,"female"
"crash",2.21,6.93,3.24,20,"female"
"crime",2.33,5.75,3.67,34,"female"
"criminal",2.62,5.68,3.05,24,"female"
"crisis",1.72,6.08,2.75,82,"female"
"crown",6.73,4.62,6.42,19,"female"
"crucify",2.09,6.78,3.72,2,"female"
"crude",2.59,5.14,3.77,15,"female"
"cruel",1.57,5.96,3.78,15,"female"
"crushed",1.86,5.41,2.68,10,"female"
"crutch",3.08,3.88,4.08,1,"female"
"cuddle",8.15,3.7,5.95,0,"female"
"cuisine",6.46,4.08,5.35,1,"female"
"curious",5.82,5.82,5.32,46,"female"
"curtains",4.68,3.68,5,8,"female"
"custom",6.04,4.65,5.08,14,"female"
"cut",3.58,5.21,4.54,192,"female"
"cute",7.95,4.85,4.85,5,"female"
"cyclone",3,6.48,4.72,0,"female"
"dagger",2.6,6.58,4.56,1,"female"
"damage",2.45,6.05,3.59,33,"female"
"dancer",7.46,6.65,6.38,31,"female"
"danger",1.85,7.42,2.92,70,"female"
"dark",4.52,4.29,5.27,185,"female"
"dawn",6.21,4.42,5.33,28,"female"
"daylight",6.96,4.5,5.38,15,"female"
"dazzle",7.24,6.27,6.05,1,"female"
"dead",1.42,6.04,2.73,174,"female"
"death",1.55,4.75,2.55,277,"female"
"debt",2.12,6.46,3.04,13,"female"
"deceit",2.57,6,3.33,2,"female"
"decompose",2.62,5,3.69,1,"female"
"decorate",7.32,5.52,6.19,2,"female"
"defeated",2.28,5.65,3.19,15,"female"
"defiant",4.11,6.41,6.11,3,"female"
"deformed",1.85,4.55,3.6,0,"female"
"delayed",3,6.09,3.86,25,"female"
"delight",8.43,5.3,6.13,29,"female"
"demon",1.39,7.32,4.78,9,"female"
"dentist",4.46,5.85,4,12,"female"
"depressed",1.58,5.06,2.68,11,"female"
"depression",1.27,4.54,2.92,24,"female"
"derelict",4.1,4.09,4.62,1,"female"
"deserter",1.9,5.86,3.24,0,"female"
"desire",7.65,7.46,6.77,79,"female"
"despairing",2.19,5.72,3.12,4,"female"
"despise",2,6.52,4.38,7,"female"
"destroy",2.12,7.04,4.5,48,"female"
"destruction",2.04,5.58,3.12,38,"female"
"detached",3.88,4.31,3.58,12,"female"
"detail",5.35,3.8,4.95,72,"female"
"detest",1.92,6.15,5.85,1,"female"
"devil",1.96,6.76,5.04,25,"female"
"devoted",7.52,5.07,6.62,51,"female"
"diamond",7.92,5.8,5.64,8,"female"
"dignified",7.29,4.62,6.15,7,"female"
"dinner",6.85,5.35,5.73,91,"female"
"diploma",8.18,5.68,6.95,0,"female"
"dirt",3.9,4.15,4.7,43,"female"
"dirty",2.35,4.58,4.58,36,"female"
"disappoint",2.26,5.13,3.13,0,"female"
"disaster",1.2,6.6,3.4,26,"female"
"discomfort",1.95,4.65,4.05,7,"female"
"discouraged",3,4.87,3.87,15,"female"
"disdainful",3.56,5.22,4.41,2,"female"
"disgusted",2.35,6.04,4.04,6,"female"
"disloyal",1.65,7.04,3.15,2,"female"
"displeased",2.81,6.15,3.85,7,"female"
"distressed",1.91,6.39,3.17,4,"female"
"disturb",3.65,5.85,4.88,10,"female"
"diver",6.31,5.12,4.88,1,"female"
"divorce",2.08,7.16,2.88,29,"female"
"doctor",5.48,6.04,4.79,100,"female"
"dog",7.46,6.12,6.08,75,"female"
"doll",6.88,4.88,4.96,10,"female"
"dollar",7.74,6,5.74,46,"female"
"door",5.12,3.42,4.62,312,"female"
"dove",7.32,3.09,5,4,"female"
"dreadful",2.19,5.92,3.5,10,"female"
"dream",6.92,4.62,6.04,64,"female"
"dreary",2.86,2.91,3.81,6,"female"
"dress",6.77,3.65,5.26,67,"female"
"drown",1.88,6.46,2.96,3,"female"
"dummy",3.76,4.32,3.86,3,"female"
"dump",2.73,4.05,3.62,4,"female"
"dustpan",3.73,3.5,5.5,0,"female"
"earth",7.35,4.32,5.04,150,"female"
"easy",7.11,3.47,6.79,125,"female"
"easygoing",7.38,4.43,5.32,1,"female"
"eat",7.05,5,5.3,61,"female"
"ecstasy",7.8,6.9,6.25,6,"female"
"education",6.8,5.85,6.38,214,"female"
"egg",5.42,4,4.67,12,"female"
"elated",7.43,6.22,5.52,3,"female"
"elbow",5.32,4.1,4.95,10,"female"
"elegant",7.56,4.39,6.13,14,"female"
"elevator",5.76,4.73,4.62,12,"female"
"embarrassed",2.43,5.87,2.48,8,"female"
"embattled",4.15,5.15,4.69,1,"female"
"employment",6.72,5.2,6.02,47,"female"
"engaged",8.34,7.14,6.64,47,"female"
"engine",5.09,3.66,4.97,50,"female"
"enjoyment",7.88,4.8,6.54,21,"female"
"ennui",5.06,4.58,4.55,0,"female"
"enraged",2.52,8,5.86,1,"female"
"errand",4.88,4.08,4.24,7,"female"
"event",6,4.55,5.3,81,"female"
"evil",2.46,6.27,4.62,72,"female"
"excellence",8.41,5.83,7.24,15,"female"
"excitement",7.83,8.07,6.48,32,"female"
"excuse",4.19,4.2,4.32,27,"female"
"execution",1.78,5.83,4,15,"female"
"exercise",7.26,6.65,5.43,58,"female"
"fabric",5.38,4.32,5.24,15,"female"
"face",6.65,5.31,6.04,371,"female"
"failure",1.36,5.52,2.24,89,"female"
"fall",4.32,4.81,3.71,147,"female"
"FALSE",3.3,3.6,3.8,29,"female"
"fame",7.93,7.14,7,18,"female"
"family",7.77,4.64,6,331,"female"
"famous",6.69,5.68,6.12,89,"female"
"fantasy",7.42,4.54,6.23,14,"female"
"farm",5.65,4.19,5.5,125,"female"
"fascinate",7.44,5.72,6.38,3,"female"
"fat",1.75,6.5,3.6,60,"female"
"father",7.26,6.22,6.83,383,"female"
"fatigued",3.05,2.6,3.3,3,"female"
"fault",3.75,4.45,3.95,22,"female"
"favor",6.36,4.23,5.86,78,"female"
"fear",1.85,7.19,2.62,127,"female"
"fearful",2.31,6.65,3.69,13,"female"
"feeble",3.04,4.2,2.6,8,"female"
"festive",7.32,6.54,5.84,2,"female"
"fever",2.48,4.73,3.38,19,"female"
"field",6.31,4.12,6,274,"female"
"fight",2.65,7.4,4.8,98,"female"
"filth",2.04,5.85,3.38,2,"female"
"finger",5.3,3.5,4.85,40,"female"
"fire",2.85,7.44,4.2,187,"female"
"fireworks",7.31,6.77,5.46,5,"female"
"fish",5.88,4.15,5.58,35,"female"
"flabby",1.52,5.68,2.54,0,"female"
"flag",6.14,3.86,5.36,16,"female"
"flirt",7.57,6.91,6.05,1,"female"
"flood",2.68,6.09,2.64,19,"female"
"flower",7,3.65,5.12,23,"female"
"foam",6.67,6.18,5.38,37,"female"
"food",7.42,6.42,5.65,147,"female"
"foot",5,3.12,4.85,70,"female"
"fork",5.12,3.88,5.65,14,"female"
"foul",2.73,4.76,4.38,4,"female"
"fragrance",5.96,4.19,4.85,6,"female"
"fraud",2.65,5.92,3.15,8,"female"
"free",8.48,5.17,6.65,260,"female"
"freedom",7.62,5.08,7,128,"female"
"friend",8.12,5.35,7.04,133,"female"
"friendly",8.5,5.28,5.8,61,"female"
"frigid",3.54,4.85,4.15,5,"female"
"frustrated",2.31,5.65,3.35,10,"female"
"fun",8.5,7.32,6.82,44,"female"
"funeral",1.23,5.55,3.14,33,"female"
"fungus",2.65,4.91,3.91,2,"female"
"fur",4,4.48,4.09,13,"female"
"game",6.52,5.58,5.68,123,"female"
"gangrene",2.06,5.59,3.25,0,"female"
"garbage",2.62,5.64,3.85,7,"female"
"garden",7,4,5.85,60,"female"
"garment",6.52,4.88,5.64,6,"female"
"garter",5.54,4.88,5.62,2,"female"
"gender",5.86,4.41,5.62,2,"female"
"gentle",7.45,3.31,5.24,27,"female"
"germs",2.81,4.68,3.67,1,"female"
"gift",8.38,6.59,5.72,33,"female"
"girl",6.31,3.04,5.77,220,"female"
"glacier",5.39,4.04,5,1,"female"
"glamour",7.17,4.74,5.87,5,"female"
"glass",4.92,4.15,4.81,99,"female"
"gloom",1.79,3.68,3.36,14,"female"
"glory",7.62,5.97,6.78,21,"female"
"gold",7.35,5.43,5.91,52,"female"
"golfer",5.46,3.62,5.42,3,"female"
"good",7.59,6.05,6.95,807,"female"
"gossip",3.23,6.32,3.27,13,"female"
"graduate",8.35,7,7.15,30,"female"
"grass",6.38,3.67,5.33,53,"female"
"grateful",7.39,4.78,6.17,25,"female"
"greed",2.85,4,4.5,3,"female"
"green",6.48,4.1,5.03,116,"female"
"greet",7.05,5.25,5.65,7,"female"
"grenade",3.32,5.91,3.81,3,"female"
"grief",1.65,4.81,3.15,10,"female"
"grime",2.86,3.64,4.27,0,"female"
"grin",7.79,4.92,5.75,13,"female"
"gripe",3.05,5.05,5.05,0,"female"
"guillotine",1.82,6.69,4.48,0,"female"
"guilty",2.54,6.81,2.77,29,"female"
"gun",2.27,6.96,2.73,118,"female"
"gymnast",6.27,5.54,5.31,1,"female"
"habit",4.08,4.04,4.21,23,"female"
"hairdryer",4.8,3.62,5.88,0,"female"
"hairpin",5.13,3.22,5,1,"female"
"hamburger",5.68,4.18,5.09,6,"female"
"hammer",5,4.5,4.25,9,"female"
"hand",6.05,4.43,4.9,431,"female"
"handicap",2.95,3.95,3.85,6,"female"
"handsome",8.09,6.55,5.03,40,"female"
"haphazard",4.45,4.5,4.45,2,"female"
"happy",8.19,6.19,6.58,98,"female"
"hard",4.82,4.86,5.36,202,"female"
"hardship",1.95,5.05,3.33,9,"female"
"hat",5.36,3.73,5.32,56,"female"
"hate",1.79,6.79,4.9,42,"female"
"hatred",1.69,6.76,4.14,20,"female"
"hawk",5.46,4.68,5.31,14,"female"
"hay",5.3,3.05,4.9,19,"female"
"headache",1.88,5,3.16,5,"female"
"headlight",5.45,3.85,5,0,"female"
"heal",7.45,4.9,6.29,2,"female"
"health",6.75,5.03,5.81,105,"female"
"heart",7.9,6.55,5.5,173,"female"
"heaven",7.41,5.16,6.12,43,"female"
"helpless",2.19,5.62,2.12,21,"female"
"heroin",4.79,5.67,5.29,2,"female"
"hide",3.97,5.66,3,22,"female"
"highway",5.8,5.52,5.68,40,"female"
"hinder",3.75,4.15,4.25,0,"female"
"history",4.77,3.81,4.62,286,"female"
"hit",3.27,6.04,4.15,115,"female"
"holiday",7.75,6.17,5.79,17,"female"
"home",8.04,4.16,5.6,547,"female"
"honest",8,5.09,6.87,47,"female"
"honey",6.91,4.5,5.23,25,"female"
"honor",7.69,5.77,7,66,"female"
"hope",7.32,5.88,5.68,178,"female"
"hopeful",7.12,5.5,5.38,12,"female"
"horror",2.48,7.69,4.64,17,"female"
"horse",6,4.04,4.85,117,"female"
"hospital",5.04,6.73,4.6,110,"female"
"hostage",2.15,7.73,2.54,2,"female"
"hostile",2.38,6.23,4.35,19,"female"
"hotel",5.52,4.46,4.96,126,"female"
"house",7.23,5.04,5.81,591,"female"
"hug",8.17,5.26,6.04,3,"female"
"humane",7.38,4.27,5.73,5,"female"
"humble",5.76,3.88,4.56,18,"female"
"humiliate",2.27,5.95,2.32,0,"female"
"humor",8.69,5.96,6.42,47,"female"
"hungry",3.52,5.09,4.7,23,"female"
"hurricane",2.45,7,2.35,8,"female"
"hurt",1.66,5.68,3.14,37,"female"
"hydrant",4.96,3.77,5.54,0,"female"
"icebox",4.91,3.59,5.09,3,"female"
"idea",7.57,6.14,6.9,195,"female"
"identity",6.95,4.8,6.5,55,"female"
"idiot",3,3.83,2.39,2,"female"
"idol",6.55,5.15,5.2,7,"female"
"ignorance",3.21,4.83,4.38,16,"female"
"illness",2.27,4.82,2.77,20,"female"
"imagine",7.52,6.32,7.62,61,"female"
"immature",2.65,4.1,4.75,7,"female"
"immoral",3.29,5.17,4.67,5,"female"
"impair",3,4.46,4,4,"female"
"impotent",2.54,4.5,2.92,2,"female"
"impressed",7.62,5.24,5.28,30,"female"
"improve",7.9,5.8,6.2,39,"female"
"incentive",6.95,5.95,5.9,12,"female"
"indifferent",4.46,3.17,4.96,11,"female"
"industry",5.06,4.34,4.56,171,"female"
"infant",7.95,5.5,5.8,11,"female"
"infatuation",6.5,6.96,4.32,4,"female"
"infection",1.48,5.22,3.35,8,"female"
"inferior",3.05,4.45,2.55,7,"female"
"inhabitant",5.27,3.27,5.18,0,"female"
"injury",1.85,5.81,3.35,27,"female"
"ink",5.08,4,4.64,7,"female"
"innocent",6.76,3.82,5.38,37,"female"
"insane",2.23,5.95,3.41,13,"female"
"insect",3.68,4.19,4.24,14,"female"
"insecure",2.41,6.14,2.28,3,"female"
"insolent",4.12,5.19,4.27,2,"female"
"inspire",7.35,4.96,6.48,3,"female"
"inspired",7.58,6.04,6.85,25,"female"
"insult",1.68,6.55,2.95,7,"female"
"intellect",6.88,4.92,5.92,5,"female"
"interest",7.3,5.87,5.83,330,"female"
"intimate",7.52,6.92,5.72,21,"female"
"intruder",2.08,7.15,3.42,1,"female"
"invader",2.46,6.5,4.04,1,"female"
"invest",6.25,4.8,6.1,3,"female"
"iron",4.54,3.54,4.96,43,"female"
"irritate",3.26,6.17,4.91,0,"female"
"item",5.2,2.95,5.45,54,"female"
"jail",1.91,5.73,4.27,21,"female"
"jealousy",2.4,7,4.16,4,"female"
"jelly",5.62,3.54,4.29,3,"female"
"jewel",7.24,5.31,5.86,1,"female"
"joke",8,6.82,6.05,22,"female"
"jolly",7.45,5.45,6.45,4,"female"
"journal",5.32,3.68,5.64,42,"female"
"joy",8.62,6.73,6.46,40,"female"
"joyful",8.52,5.81,6.77,1,"female"
"jug",5,3.5,4.9,6,"female"
"justice",7.93,5.71,6.57,114,"female"
"kerchief",4.81,3.27,5.15,1,"female"
"kerosene",4.77,4.36,4.8,6,"female"
"ketchup",5.68,4.52,5.38,1,"female"
"kettle",5.25,2.85,5.05,3,"female"
"key",5.96,3.5,4.83,88,"female"
"kick",4.1,5.65,5.7,16,"female"
"kids",6.96,5.27,5.28,32,"female"
"killer",1.43,8.35,4.52,21,"female"
"kind",7.62,4.69,6.17,313,"female"
"kindness",8.38,3.76,6.08,5,"female"
"king",7.34,5.48,7.34,88,"female"
"kiss",8.24,7.55,7.1,17,"female"
"kitten",7,5.15,6.81,5,"female"
"knife",2.64,5.77,3.23,76,"female"
"knot",4.82,4.62,4.5,8,"female"
"knowledge",7.6,5.9,7.2,145,"female"
"lake",7.1,3.86,5.03,54,"female"
"lamb",6.25,3.42,4.88,7,"female"
"lamp",5.75,3.9,5.55,18,"female"
"lantern",5.64,4,4.86,13,"female"
"laughter",8.35,6.7,6.7,22,"female"
"lavish",6.8,4.95,5.8,3,"female"
"lawn",5.23,3.82,5.27,15,"female"
"lawsuit",3.52,5.5,3.8,1,"female"
"lazy",4.33,3,4,9,"female"
"leader",7.9,6.35,8.35,74,"female"
"learn",7.27,5.54,6.54,84,"female"
"legend",6.41,4.27,5.32,26,"female"
"leisurely",7,4.52,5.25,5,"female"
"leprosy",2.09,6.48,4,1,"female"
"letter",6.91,4.64,5.59,145,"female"
"liberty",8.1,5.47,6.33,46,"female"
"lice",2.12,4.92,3.6,2,"female"
"lie",2.28,6.25,2.81,59,"female"
"life",7.38,6.26,5.77,715,"female"
"lightbulb",5.77,4.38,6.23,0,"female"
"lighthouse",5.58,3.96,5.38,0,"female"
"lightning",4,6.69,3.62,14,"female"
"limber",5.9,4.52,5.86,2,"female"
"lion",5.54,6.54,3.62,17,"female"
"listless",3.92,3.58,3.65,1,"female"
"lively",7.42,5.8,6.08,26,"female"
"locker",5.45,3.35,5.7,9,"female"
"loneliness",1.59,4.52,2.42,9,"female"
"lonely",2.15,4.92,3.04,25,"female"
"loser",1.95,5.05,2.55,1,"female"
"lost",2.54,5.77,2.88,173,"female"
"lottery",6.46,5.76,4.52,1,"female"
"louse",2.15,5.31,3.19,3,"female"
"love",8.77,6.42,7.12,232,"female"
"loved",8.83,6.69,7.1,56,"female"
"loyal",7.93,5.24,7.14,18,"female"
"lucky",8.35,6.15,5.9,21,"female"
"lump",3.58,5.36,4.2,7,"female"
"luscious",7.48,4.96,5.96,2,"female"
"luxury",8.03,5.04,6.43,21,"female"
"machine",5.46,3.83,5.46,103,"female"
"mad",2.52,6.67,5.95,39,"female"
"madman",3.24,5.88,4.33,2,"female"
"maggot",1.92,5.54,3.81,2,"female"
"magical",7.82,5.86,5.86,12,"female"
"mail",7.18,5.55,5.73,47,"female"
"malaria",2.41,4.81,3.33,3,"female"
"malice",2.38,6.08,4.77,2,"female"
"man",7.19,6.73,4.81,1207,"female"
"mangle",3.68,5.14,3.95,0,"female"
"maniac",3.2,5.55,4.2,4,"female"
"manner",5.62,4.41,5.52,124,"female"
"mantel",4.96,2.88,4.92,3,"female"
"manure",3.23,4.27,4.5,6,"female"
"market",5.5,3.55,5.41,155,"female"
"massacre",2.32,5.43,2.86,1,"female"
"masterful",7,4.97,7.31,2,"female"
"material",5.25,3.55,5.05,174,"female"
"measles",2.47,5.38,3.84,2,"female"
"medicine",5.76,4.48,4.59,30,"female"
"meek",3.38,4.19,3.15,10,"female"
"melody",7.5,5.2,5.35,21,"female"
"memories",7.59,6,6.18,15,"female"
"memory",6.4,5.4,5.1,76,"female"
"menace",2.68,5.72,4.81,9,"female"
"merry",8.09,5.5,6.45,8,"female"
"messy",3.16,3.79,4,3,"female"
"metal",4.8,3.75,5.4,61,"female"
"method",5.2,3.25,5.05,142,"female"
"mighty",6.88,5.81,7.4,29,"female"
"mildew",3.08,4.08,4.27,1,"female"
"milk",5.45,2.8,5.5,49,"female"
"millionaire",7.92,6.35,7.19,2,"female"
"mind",6.85,4.75,6.4,325,"female"
"miracle",8.72,7.72,5.32,16,"female"
"mischief",5.73,5.77,5.57,5,"female"
"misery",1.59,5.36,2.18,15,"female"
"mistake",2.54,5.21,3.17,34,"female"
"mobility",6.95,4.59,6.41,8,"female"
"modest",5.81,3.65,4.85,29,"female"
"mold",3.19,4.14,4.14,45,"female"
"moment",5.92,3.38,4.73,246,"female"
"money",7.45,6,6.21,265,"female"
"month",5.07,4,4.86,130,"female"
"moody",2.96,4.33,4.25,5,"female"
"moral",6.45,4.4,6,142,"female"
"morbid",2.62,5.22,4.19,1,"female"
"morgue",1.7,5.26,3.04,1,"female"
"mosquito",2.3,4.85,4.3,1,"female"
"mother",8.74,6.74,6.52,216,"female"
"mountain",6.86,5.27,4.95,33,"female"
"movie",6.93,4.86,5.17,29,"female"
"mucus",2.8,3.4,4.4,2,"female"
"muddy",4.15,4.44,4.68,10,"female"
"muffin",6.77,5.19,5.48,0,"female"
"murderer",1.42,7.42,3.5,19,"female"
"muscular",7.09,5.29,6.45,16,"female"
"museum",5.62,3,5.24,32,"female"
"mushroom",5.5,4.5,5.19,2,"female"
"music",8.43,5.13,6.87,216,"female"
"mutation",3.56,4.85,3.84,0,"female"
"mutilate",1.97,6.03,3,3,"female"
"mystic",6.04,5.38,5.58,3,"female"
"naked",5.83,5.78,5.52,32,"female"
"name",5.21,3.83,5,294,"female"
"narcotic",4.09,5.33,4.19,2,"female"
"nasty",3.12,4.84,4.96,5,"female"
"natural",6.62,3.62,5.58,156,"female"
"nature",7.77,4.24,4.92,191,"female"
"nectar",6.96,4.08,4.38,3,"female"
"needle",3.62,5.62,3.85,15,"female"
"neglect",1.9,5.15,3.75,12,"female"
"nervous",2.91,7.5,3.05,24,"female"
"neurotic",4.08,5.42,4.4,10,"female"
"news",5.1,5.73,4.1,102,"female"
