"Word","Valence.M","Arousal.M","Dominance.M","Word.Frequency","Valence.F","Arousal.F","Dominance.F","Freq.Bin","Freq.Colour"
"bus",4.72,3.32,5.04,34,4.31,3.77,4.65,"HIGH","red"
"busybody",4.81,4.29,4.57,0,5.52,5.36,6.33,"LOW","blue"
"butter",5.4,3.3,4.5,27,5.31,3.12,4.73,"MID","darkgreen"
"butterfly",6.58,3.45,4.55,2,7.48,3.48,4.7,"LOW","blue"
"cabinet",5.1,3.45,4.7,17,5,3.57,4.76,"MID","darkgreen"
"cake",7.27,5.13,5.2,9,7.26,4.91,5.13,"MID","darkgreen"
"cancer",1.75,6.83,3.33,25,1.41,6.26,3.45,"MID","darkgreen"
"candy",6,4.1,5,16,6.96,4.96,5.58,"MID","darkgreen"
"cane",3.58,4.42,4.47,12,4.36,4,4.09,"MID","darkgreen"
"cannon",5.71,5.14,5.48,7,4.05,4.25,4.85,"MID","darkgreen"
"capable",7,5.6,5.73,66,7.26,4.74,6.96,"HIGH","red"
"car",7.84,5.64,6.6,274,7.62,6.81,7.35,"HIGH","red"
"carcass",4.21,5.11,5.53,7,2.59,4.59,4.36,"MID","darkgreen"
"carefree",7.75,2.67,5.33,9,7.45,4.82,5.96,"MID","darkgreen"
"caress",7.58,4.5,6.08,1,7.94,5.39,5.73,"LOW","blue"
"cash",8.28,7.08,6.76,36,8.46,7.65,7.15,"HIGH","red"
"casino",6.9,6.76,5.14,2,6.71,6.27,5.1,"LOW","blue"
"cat",5.33,4.08,6.54,0,6.08,4.65,5.81,"LOW","blue"
"cell",3.33,3.67,4.12,65,4.27,4.46,4.12,"HIGH","red"
"cellar",4.45,4.3,4.9,26,4.21,4.46,4.46,"MID","darkgreen"
"cemetery",3.42,4.45,4.73,15,2.22,5,4.05,"MID","darkgreen"
"chair",5.3,3.4,4.7,66,5,3.07,4.52,"HIGH","red"
"champ",7.22,6.22,6.28,1,7.15,5.85,7.12,"LOW","blue"
"champion",8.42,4.83,6.08,23,8.45,6.29,6.68,"MID","darkgreen"
"chance",6.42,5.63,4.74,131,5.72,5.4,4.58,"HIGH","red"
"chaos",4.5,6.3,4,17,3.86,7,3.73,"MID","darkgreen"
"charm",6.67,5.47,5.87,26,6.83,5,5.41,"MID","darkgreen"
"cheer",7.7,5.95,5.55,8,8.5,6.3,6.45,"MID","darkgreen"
"child",6.15,5.75,5.35,213,8,5.35,4.85,"HIGH","red"
"chin",5.36,3.64,5.41,27,5.2,2.95,5.1,"MID","darkgreen"
"chocolate",6.8,4.88,5.36,9,6.96,5.69,5,"MID","darkgreen"
"christmas",7.58,6.05,5.37,27,7.96,6.42,5.38,"MID","darkgreen"
"church",5.29,4.69,4.62,348,6.81,4.16,5.2,"HIGH","red"
"circle",5.3,3.65,5.16,60,6,4.24,4.9,"HIGH","red"
"circus",6.76,5.38,5,7,7.75,6.45,5.7,"MID","darkgreen"
"city",5.67,4.53,4.53,393,6.26,5.7,6.52,"HIGH","red"
"cliff",4.96,5.88,5.04,11,4.38,6.62,3.69,"MID","darkgreen"
"clock",4.86,3.95,4.59,20,5.45,4.1,4.75,"MID","darkgreen"
"clothing",5.93,4.15,5.33,20,6.88,5.12,5.33,"MID","darkgreen"
"clouds",6.42,3.46,5.46,38,5.96,3.15,5,"HIGH","red"
"clumsy",4.06,4.78,4.06,6,3.96,5.46,3.73,"LOW","blue"
"coarse",4.65,4.5,5.05,10,4.45,4.14,4.95,"MID","darkgreen"
"coast",6.06,4.83,5.71,61,5.92,4.42,5.65,"HIGH","red"
"cockroach",3.73,5.33,5.47,2,2.38,6.47,4.41,"LOW","blue"
"coffin",3,4.3,4.2,7,2.41,5.28,4.03,"MID","darkgreen"
"coin",5.76,4.48,5.86,10,6.3,4.1,5.45,"MID","darkgreen"
"cold",3.9,5.4,4.65,171,4.14,5,4.73,"HIGH","red"
"color",7.05,4.63,6.32,141,7,4.82,6.05,"HIGH","red"
"column",5.15,3.7,5.25,71,5.18,3.55,4.41,"HIGH","red"
"comedy",8,6.36,4.82,39,8.57,5.61,5.74,"HIGH","red"
"comfort",6.45,4.35,5.7,43,7.61,3.74,5.7,"HIGH","red"
"computer",6.12,4.52,5.08,13,6.35,4.96,5.5,"MID","darkgreen"
"concentrate",4.83,4.73,4.82,11,5.39,4.61,5.04,"MID","darkgreen"
"confident",7.73,6.53,7.2,16,8.12,6.04,7.96,"MID","darkgreen"
"confused",3.27,5.55,4.33,44,3.17,6.27,4.18,"HIGH","red"
