"Word","Valence.M","Arousal.M","Dominance.M","Word.Frequency","Valence.F","Arousal.F","Dominance.F","Freq.Bin","Freq.Colour"
"politeness",6.8,3.73,5.13,5,7.43,3.74,6.13,"LOW","blue"
"pollute",2,6.14,5.77,1,1.77,6.04,4.5,"LOW","blue"
"poster",5.45,4.65,4.95,4,5.25,3.33,4.88,"LOW","blue"
"poverty",2.08,4.92,3.93,20,1.46,4.84,2.8,"MID","darkgreen"
"power",7.29,7.07,7.29,342,6.12,6.44,7.28,"HIGH","red"
"powerful",6.88,5.88,7.29,63,6.81,5.8,7.12,"HIGH","red"
"prairie",5.33,3.75,5.17,21,5.93,3.26,4.39,"MID","darkgreen"
"present",6.55,5.6,5.5,377,7.32,4.68,6.14,"HIGH","red"
"pressure",3.5,5.55,3.1,185,3.27,6.55,3.77,"HIGH","red"
"prestige",7.45,6.15,7.05,29,7.09,5.59,6.77,"MID","darkgreen"
"pretty",7.65,6.65,4.95,107,7.85,5.37,6.05,"HIGH","red"
"pride",6.53,5.8,6.6,42,7.22,5.84,7.28,"HIGH","red"
"priest",6.06,5.41,4.88,16,6.65,3.71,4.88,"MID","darkgreen"
"prison",2.25,5.92,4.58,42,1.97,5.61,4.04,"HIGH","red"
"privacy",5.73,3.93,4.87,12,5.96,4.23,6.12,"MID","darkgreen"
"profit",7.8,7.4,6.2,28,7.54,6.27,5.65,"MID","darkgreen"
"progress",7.45,6.05,6.3,120,8,6.29,7.18,"HIGH","red"
"promotion",8,5.67,6.83,26,8.28,6.74,6.77,"MID","darkgreen"
"protected",6.25,4.1,5.3,31,8.12,4.08,6.19,"HIGH","red"
"proud",8.08,5.91,6.73,50,8,5.39,6.74,"HIGH","red"
"pungent",4.38,4.19,5.1,4,3.5,4.3,4.45,"LOW","blue"
"punishment",2.4,5.8,3.53,21,2.12,6,3.48,"MID","darkgreen"
"puppy",7.3,6.1,4.8,2,7.66,5.76,5.76,"LOW","blue"
"pus",2.84,4.92,4.4,0,2.88,4.73,4.31,"LOW","blue"
"putrid",2.86,5.46,4.85,0,2.12,5.88,4.92,"LOW","blue"
"python",5.39,5.56,6.33,14,3.12,6.62,3.27,"MID","darkgreen"
"quality",6.39,4.5,6,114,6.15,4.46,5.38,"HIGH","red"
"quarrel",3.5,6.1,4.05,20,2.5,6.44,4,"MID","darkgreen"
"quart",5.45,4.1,5.55,3,5.33,3.17,4.92,"LOW","blue"
"queen",5.81,4.73,4.67,41,7.1,4.8,6.35,"HIGH","red"
"quick",6.7,6.65,6.65,68,6.59,6.5,6.5,"HIGH","red"
"quiet",5.75,2.5,5.08,76,5.52,2.94,4.16,"HIGH","red"
"rabbit",6.4,3.64,6.04,11,6.73,4.38,6.12,"MID","darkgreen"
"rabies",1.58,6.08,4,1,1.86,6.1,3.79,"LOW","blue"
"radiant",6.35,5.05,5.9,8,7.04,5.67,5.38,"MID","darkgreen"
"radiator",4.5,4.45,4.75,4,4.82,3.64,4.86,"LOW","blue"
"radio",6.67,5.36,5.5,120,6.77,4.46,5.15,"HIGH","red"
"rage",2.55,8.33,7.18,16,2.35,8.09,4.96,"MID","darkgreen"
"rain",5.36,3.68,5.2,70,4.81,3.62,4.38,"HIGH","red"
"rainbow",8,4.88,4.88,4,8.25,4.45,4.6,"LOW","blue"
"rancid",4.47,5.37,5.32,0,4.24,4.81,4.04,"LOW","blue"
"rat",3.5,4.5,5.58,6,2.82,5.14,4.11,"LOW","blue"
"rattle",5.5,4.4,3.8,5,4.85,4.35,4.31,"LOW","blue"
"razor",5,6.22,5.28,15,4.68,4.96,4.64,"MID","darkgreen"
"red",6.36,4.96,5.33,197,6.46,5.62,6.19,"HIGH","red"
"refreshment",7.83,3.92,5,2,7.28,4.68,5,"LOW","blue"
"regretful",2.33,5.73,3.93,1,2.25,5.75,3.19,"LOW","blue"
"rejected",1.83,6.67,3.42,33,1.38,6.26,2.45,"HIGH","red"
"relaxed",6.4,3.2,5.6,14,7.39,1.87,5.52,"MID","darkgreen"
"repentant",5,4.14,5,1,5.86,5.05,5.68,"LOW","blue"
"reptile",5.5,5.11,5.33,0,4.27,5.23,4.38,"LOW","blue"
"rescue",7.9,7.1,6.7,15,7.5,5.95,6.2,"MID","darkgreen"
"resent",3.9,4.24,3.8,8,3.64,4.9,5.1,"MID","darkgreen"
"reserved",4.92,3,5.25,27,4.87,3.38,3.94,"MID","darkgreen"
"respect",7.25,5.12,6.25,125,7.95,5.25,7.4,"HIGH","red"
"respectful",6.92,3.67,5.17,4,7.34,5,5.89,"LOW","blue"
"restaurant",6.62,6.14,6.29,41,6.9,4.65,5.15,"HIGH","red"
"reunion",6.45,6.05,5.8,11,6.5,6.58,5.5,"MID","darkgreen"
"reverent",5.5,4.2,4.84,3,5.2,3.8,4.5,"LOW","blue"
"revolt",3.8,7,6.7,8,4.24,6.41,6,"MID","darkgreen"
"revolver",5.65,5.25,5.75,14,2.48,5.82,3.1,"MID","darkgreen"
"reward",7.13,4.53,5.8,15,7.78,5.23,6.13,"MID","darkgreen"
"riches",7.47,6.5,6.5,2,7.85,5.96,6.88,"LOW","blue"
"ridicule",3.8,4.9,4.05,5,2.62,6.54,3.73,"LOW","blue"
"rifle",5.48,6.48,5.46,63,2.62,6.23,2.96,"HIGH","red"
"rigid",4.15,4.75,4.85,24,3.25,4.58,4.42,"MID","darkgreen"
"riot",3.55,6.15,3.95,7,2.5,6.58,4.35,"MID","darkgreen"
"river",6.6,4,4.4,165,6.93,4.69,5.34,"HIGH","red"
"roach",3.08,4.91,5.45,2,1.95,7.5,4.5,"LOW","blue"
"robber",3.11,5.7,4.32,2,2.18,5.81,3,"LOW","blue"
"rock",5.84,4.45,5.26,75,5.32,4.81,5.05,"HIGH","red"
"rollercoaster",7.8,7.6,5.2,0,8.23,8.5,5,"LOW","blue"
"romantic",8.13,7.93,6.13,32,8.45,7.36,6.05,"HIGH","red"
"rotten",2.67,4.27,4.47,2,2,4.7,4.22,"LOW","blue"
"rough",4.71,4.95,4.81,41,4.76,5.68,4.81,"HIGH","red"
"rude",2.82,6.42,5.55,6,2.35,6.26,4.61,"LOW","blue"
"runner",5.64,3.88,5.8,1,5.69,5.62,5.15,"LOW","blue"
"rusty",3.92,4.25,4.92,8,3.84,3.59,4.39,"MID","darkgreen"
"sad",1.87,4.2,4.13,35,1.43,4.09,3,"HIGH","red"
"safe",6.3,4,5.79,58,7.71,3.75,5.83,"HIGH","red"
"sailboat",6.52,4.76,5.8,1,7.96,5,5.92,"LOW","blue"
"saint",5.84,5.05,5.11,16,7.05,4,5.59,"MID","darkgreen"
"salad",5.4,3.73,5.67,9,5.91,3.84,5.38,"MID","darkgreen"
"salute",5.56,5.12,5.59,3,6.2,5.45,5.35,"LOW","blue"
"sapphire",6.6,5.13,5.47,0,7.21,4.93,5.59,"LOW","blue"
"satisfied",7.44,4.44,5.11,36,8.12,5.12,6.5,"HIGH","red"
"save",6.27,5.09,6.23,62,6.65,4.8,5.75,"HIGH","red"
"savior",7.73,5.87,6.6,6,7.72,5.76,6.66,"LOW","blue"
"scalding",3.17,6.89,3.72,1,2.58,5.31,3.88,"LOW","blue"
"scandal",4.05,4.95,4.84,8,2.68,5.27,3.91,"MID","darkgreen"
"scapegoat",3.81,4.57,3.57,1,3.52,4.5,3.48,"LOW","blue"
"scar",3.6,4.65,4.25,10,3.18,4.91,3.55,"MID","darkgreen"
"scared",3.52,6.84,3.48,21,2.08,6.81,2.42,"MID","darkgreen"
"scholar",7.08,5,5.82,15,7.35,5.17,6.96,"MID","darkgreen"
"scissors",5.14,4.14,4.95,1,4.95,5,5.36,"LOW","blue"
"scorching",3.55,4.67,4.14,0,3.95,5.32,4.05,"LOW","blue"
"scorn",3.07,5.53,4.4,4,2.72,5.45,3.69,"LOW","blue"
"scornful",4,4.2,4.8,5,2.27,5.69,4.42,"LOW","blue"
"scorpion",3.61,4.63,4.06,0,3.75,6.42,3.92,"LOW","blue"
"scream",4.04,6.68,4.68,13,3.73,7.38,4.81,"MID","darkgreen"
"scurvy",3.53,4.41,4.29,1,2.96,4.92,4.6,"LOW","blue"
"seasick",2.2,5.2,3.47,0,1.96,6.15,3.38,"LOW","blue"
"seat",4.6,2.6,4.6,54,5.17,3.17,5,"HIGH","red"
"secure",6.94,3,5.65,30,8,3.24,6.12,"HIGH","red"
"selfish",3.25,5.33,5.33,8,2.04,5.58,4.33,"MID","darkgreen"
"sentiment",5.76,4.28,4.71,23,6.12,4.5,5.35,"MID","darkgreen"
"serious",5.67,4,5.58,116,4.82,4,4.93,"HIGH","red"
"severe",4.05,5.3,4.2,39,2.38,5.48,3.5,"HIGH","red"
"shadow",4.5,3.58,4,36,4.29,4.56,4.26,"HIGH","red"
"shamed",2.95,3.95,3.15,1,2.05,5.8,2.8,"LOW","blue"
"shark",3.8,7.24,2.84,0,3.5,7.08,2.42,"LOW","blue"
"sheltered",5.5,4.69,4.06,4,5.95,3.95,3.5,"LOW","blue"
"ship",5.35,4,4.85,83,5.75,4.75,5.4,"HIGH","red"
"shotgun",6.16,6.11,6.79,8,2.82,6.41,4,"MID","darkgreen"
"shriek",4.15,4.9,4.5,5,3.75,5.75,4.12,"LOW","blue"
"shy",4.59,3.88,3.12,13,4.68,3.69,3.65,"MID","darkgreen"
"sick",2.12,4.44,3.17,51,1.69,4.15,2.92,"HIGH","red"
"sickness",2.57,6.08,5.31,6,2.08,5.36,3.08,"LOW","blue"
"silk",6.53,4,4.76,12,7.16,3.5,4.84,"MID","darkgreen"
"silly",7.05,6.32,5.74,15,7.73,5.5,6.23,"MID","darkgreen"
"sin",3.36,5.07,4.21,53,2.5,6.15,3.31,"HIGH","red"
"sinful",3,6.33,4.13,3,2.88,6.27,4.31,"LOW","blue"
"sissy",3.69,5.06,4.59,0,2.81,5.23,2.92,"LOW","blue"
"skeptical",5,5.35,4.88,7,4.2,4.62,4.24,"MID","darkgreen"
"skijump",7.04,6.75,5.38,0,7.08,7.35,4.46,"LOW","blue"
"skull",4.6,5.4,4.96,3,3.96,4.12,4.77,"LOW","blue"
"sky",7.28,4.36,5,58,7.46,4.19,5.31,"HIGH","red"
"skyscraper",6.04,5.6,4.36,2,5.73,5.81,4.31,"LOW","blue"
"slap",3.53,6.29,3.94,2,2.56,6.58,4.38,"LOW","blue"
"slaughter",2.17,6.92,4.75,10,1.44,6.71,3.47,"MID","darkgreen"
"slave",2.18,5.06,4.06,30,1.62,7,2.76,"HIGH","red"
"sleep",7.53,2.33,4.67,65,7.03,3.03,5.79,"HIGH","red"
"slime",3.6,5,4.2,1,2.25,5.53,4.16,"LOW","blue"
"slow",3.95,4.16,4.5,60,3.91,2.73,4.23,"HIGH","red"
"slum",2.2,4.2,3.9,8,2.46,5,3.81,"MID","darkgreen"
"slush",4.65,3.5,4.85,0,4.67,3.92,4.96,"LOW","blue"
"smallpox",2.5,5.85,4.77,2,2.54,5.44,4.04,"LOW","blue"
"smooth",6.72,5,4.78,42,6.48,4.85,5.32,"HIGH","red"
"snake",4.08,6.72,4.48,44,2.58,6.92,3.08,"HIGH","red"
"snob",2.75,5.75,5.33,1,3.6,5.61,5.03,"LOW","blue"
"snow",6.88,5.36,5.92,59,7.27,6.12,5.69,"HIGH","red"
"snuggle",7.8,4.47,5.8,4,8,3.96,5.57,"LOW","blue"
"social",6.42,5.26,5.16,380,7.25,5.17,6.48,"HIGH","red"
"soft",6.84,5,6.16,61,7.38,4.32,5.86,"HIGH","red"
"solemn",4.88,3.88,4.5,12,3.85,3.3,4.7,"MID","darkgreen"
"song",6.38,5.38,5.67,70,7.85,6.8,6.05,"HIGH","red"
"soothe",7.42,4.53,4.68,2,7.2,4.31,5.88,"LOW","blue"
"sour",3.65,4.95,4.8,3,4.18,5.23,4.5,"LOW","blue"
"space",6.8,5.08,5.24,184,6.76,5.2,5.16,"HIGH","red"
"spanking",5,5.7,4.7,0,2.33,5.39,3.22,"LOW","blue"
"sphere",5.45,4.1,5.05,22,5.23,3.86,4.95,"MID","darkgreen"
"spider",3.64,5.48,4.96,2,3.04,5.92,4.54,"LOW","blue"
"spirit",7,5.5,4.8,182,7,5.59,6.17,"HIGH","red"
"spouse",7.57,6.38,5.85,3,7.58,4.6,5.36,"LOW","blue"
"spray",5.45,4.45,5.14,16,5.45,3.8,5.1,"MID","darkgreen"
"spring",7.5,6.95,6.35,127,8,4.5,6.18,"HIGH","red"
"square",4.9,2.5,4.6,143,4.69,3.41,4.48,"HIGH","red"
"stagnant",4.15,3.95,4.75,5,4.14,3.91,4.67,"LOW","blue"
"star",7.33,6,5.07,25,7.23,5.73,4.46,"MID","darkgreen"
"startled",4.41,6.53,5.24,21,4.56,7.19,3.96,"MID","darkgreen"
"starving",2.8,6,3.64,6,2,5.23,3.62,"LOW","blue"
"statue",5.11,3.89,5.53,17,5.23,3.09,4.45,"MID","darkgreen"
"stench",2.6,4.35,4.55,1,1.82,4.57,4.05,"LOW","blue"
"stiff",5.1,4.2,5,21,4.29,3.86,4.86,"MID","darkgreen"
"stink",2.8,4.27,4.07,3,3.13,4.26,4.22,"LOW","blue"
"stomach",4.95,4,4.7,37,4.71,4.04,4.67,"HIGH","red"
"stool",4.1,3.67,5.29,8,5,4.52,4.67,"MID","darkgreen"
"storm",5.3,6.35,4.85,26,4.62,5.38,4.24,"MID","darkgreen"
"stove",5.47,4.26,5,15,4.62,4.69,5.64,"MID","darkgreen"
"street",5.3,3.9,5.2,244,5.19,3.19,4.65,"HIGH","red"
"stress",2.33,7.42,4.83,107,2,7.47,3.58,"HIGH","red"
"strong",7.4,6.07,6.67,202,6.91,5.83,7.09,"HIGH","red"
"stupid",2.91,4.08,4,24,2.1,4.97,2.57,"MID","darkgreen"
"subdued",5,2.83,5,8,4.54,2.93,3.68,"MID","darkgreen"
"success",8.2,6.2,6.2,93,8.35,6.04,7.35,"HIGH","red"
"suffocate",1.64,5,4.36,1,1.52,6.57,3,"LOW","blue"
"sugar",6.4,6.2,5.3,34,7.05,5.14,5.68,"HIGH","red"
"suicide",1.56,5.18,4.12,17,1,6.2,3.15,"MID","darkgreen"
"sun",6.96,4.8,5.54,112,8.12,5.27,6.73,"HIGH","red"
"sunlight",7,5.6,5.4,17,8.45,6.86,5.86,"MID","darkgreen"
"sunrise",7.75,5.09,5.36,10,7.91,5.04,5.26,"MID","darkgreen"
"sunset",6.8,4.13,5.67,14,8.19,4.23,5.65,"MID","darkgreen"
"surgery",3.12,5.68,2.92,6,2.62,7,2.58,"LOW","blue"
"surprised",7.07,7.8,5.87,58,7.66,7.31,6.22,"HIGH","red"
"suspicious",4,6,5.06,13,3.55,6.45,4,"MID","darkgreen"
"swamp",5.36,5.27,5.82,5,4.9,4.4,4.7,"LOW","blue"
"sweetheart",8.27,5.33,5.93,9,8.52,5.61,6.09,"MID","darkgreen"
"swift",6.58,5.95,6.32,32,6.36,4.91,6.27,"HIGH","red"
"swimmer",6.25,4.12,5.75,0,6.81,5.46,6.15,"LOW","blue"
"syphilis",1.9,4.45,3.1,0,1.45,7,3.55,"LOW","blue"
"table",5.3,3.1,3.9,198,5.19,2.85,4.69,"HIGH","red"
"talent",7.4,6.6,6.33,40,7.65,6.08,6.58,"HIGH","red"
"tamper",4.1,5.1,4.71,1,4.1,5.05,4.45,"LOW","blue"
"tank",5.92,4.92,5.58,12,4.42,4.85,4.04,"MID","darkgreen"
"taste",6.68,5.37,5.53,59,6.64,5.12,5.48,"HIGH","red"
"taxi",5.45,3.8,4.25,16,4.62,3.08,4.96,"MID","darkgreen"
"teacher",5.75,4.5,5.05,80,5.62,3.67,5.17,"HIGH","red"
"tease",6.05,6.42,5.16,6,3.96,5.68,4.29,"LOW","blue"
"tender",6.57,5.1,5.33,11,7.29,4.68,5.33,"MID","darkgreen"
"tennis",5.88,4.4,5.72,15,6.15,4.81,5.5,"MID","darkgreen"
"tense",3.5,6,5.1,15,3.58,6.73,5.27,"MID","darkgreen"
"termite",3.95,4.05,4.25,0,3.28,6.42,3.58,"LOW","blue"
"terrible",2.38,5.53,4.36,45,1.65,6.69,3.15,"HIGH","red"
"terrific",8.25,5.92,7,5,8.12,6.35,6.45,"LOW","blue"
"terrified",1.8,7.3,3.6,7,1.69,8.08,2.88,"MID","darkgreen"
"terrorist",1.96,6.76,2.88,0,1.42,7.77,2.42,"LOW","blue"
"thankful",6.33,4.4,5.67,6,7.16,4.31,5.16,"LOW","blue"
"theory",5.4,4.8,4.85,129,5.2,4.45,4.9,"HIGH","red"
"thermometer",4.8,3.45,4.55,0,4.67,4.09,4.24,"LOW","blue"
"thief",3.47,6.27,4.93,8,1.5,7.19,3.25,"MID","darkgreen"
"thorn",3.59,5.18,4.47,3,3.68,5.12,4.44,"LOW","blue"
"thought",6,4.81,5.67,515,6.8,4.85,6.4,"HIGH","red"
"thoughtful",7.41,6.44,5.38,11,7.85,5.15,5.8,"MID","darkgreen"
"thrill",8.4,8.4,6.53,5,7.85,7.81,6.54,"LOW","blue"
"tidy",6.26,3.68,4.95,1,6.32,4.36,5.88,"LOW","blue"
"time",5.15,5.36,5.31,1599,5.38,4.24,4.28,"HIGH","red"
"timid",3.8,3.07,3.2,5,3.9,4.66,3.03,"LOW","blue"
"tobacco",3.4,4.6,3.6,19,3.23,4.92,4.27,"MID","darkgreen"
"tomb",3.44,4.35,4.25,11,2.55,5.05,3.3,"MID","darkgreen"
"tool",5.5,4.8,6.4,40,4.91,3.91,5,"HIGH","red"
"toothache",2,5.83,4.5,0,1.97,5.43,3.64,"LOW","blue"
"tornado",3.17,6.33,5.42,1,2.29,7.03,3.82,"LOW","blue"
"torture",1.55,5.15,3.15,3,1.58,7.11,3.5,"LOW","blue"
"tower",5.57,4.38,6.33,13,5.35,3.5,5.2,"MID","darkgreen"
"toxic",2,5.92,4.25,3,2.14,6.61,4.5,"LOW","blue"
"toy",7,5.75,6.6,4,7,4.58,5.67,"LOW","blue"
"tragedy",2.27,6.13,3.87,49,1.5,6.31,3.28,"HIGH","red"
"traitor",2.19,5.41,5.06,2,2.25,6.1,4.25,"LOW","blue"
"trash",2.44,3.96,4.88,2,2.88,4.35,5.58,"LOW","blue"
"trauma",2.44,6.12,2.8,1,1.77,6.54,2.88,"LOW","blue"
"travel",6.64,6.09,6.41,61,7.6,6.35,6.2,"HIGH","red"
"treasure",8.47,7.5,6.31,4,8.1,6.15,6.4,"LOW","blue"
"treat",7.2,5.8,5.35,26,7.5,5.71,6.19,"MID","darkgreen"
"tree",6.42,2.67,5.75,59,6.28,3.75,4.79,"HIGH","red"
"triumph",7.2,6,6.75,22,8.28,5.62,7.15,"MID","darkgreen"
"triumphant",8.8,6.36,6.87,5,8.83,7.04,7,"LOW","blue"
"trophy",7.9,5.8,5.9,8,7.73,5.23,6.65,"MID","darkgreen"
"trouble",3.75,5.91,4.64,134,2.65,7.3,4.96,"HIGH","red"
"troubled",2.6,5.1,4.3,31,2,6.28,3.76,"HIGH","red"
"truck",6,4.72,5.52,57,4.96,4.96,5.15,"HIGH","red"
"trumpet",5.81,5.19,4.59,7,5.7,4.8,4.55,"MID","darkgreen"
"trunk",5,3.95,4.89,8,5.16,4.35,5.32,"MID","darkgreen"
"trust",5.67,5.27,5.73,52,7.21,5.31,7.07,"HIGH","red"
"truth",7.5,4.92,6.54,126,7.96,5.04,6.44,"HIGH","red"
"tumor",3.16,5.68,4.05,17,1.77,7.12,3.23,"MID","darkgreen"
"tune",6.32,4.9,5.95,10,7.45,4.55,5.55,"MID","darkgreen"
"twilight",6.83,4.94,5.56,4,7.5,4.54,5.62,"LOW","blue"
"ugly",2.5,5,4.36,21,2.39,5.57,4.22,"MID","darkgreen"
"ulcer",1.92,6.33,4.33,5,1.72,6.04,4.11,"LOW","blue"
"umbrella",5.2,3.04,5.64,8,5.12,4.32,5.2,"MID","darkgreen"
"unfaithful",2.4,5.47,3.33,1,1.85,6.62,2.85,"LOW","blue"
"unhappy",1.93,4.07,2.8,26,1.35,4.26,3.7,"MID","darkgreen"
"unit",5.7,4.4,5.65,103,5.5,3.21,4.67,"HIGH","red"
"untroubled",7.55,3.42,5.18,0,7.65,4.13,5.7,"LOW","blue"
"upset",2,5.38,4.31,14,2,6.25,3.9,"MID","darkgreen"
"urine",2.84,4.16,5.08,1,3.65,4.23,5.38,"LOW","blue"
"useful",6.76,4.35,5.82,58,7.38,4.2,6,"HIGH","red"
"useless",2.73,5.18,5.09,17,1.89,4.75,3.44,"MID","darkgreen"
"utensil",4.91,3.73,5.82,0,5.4,3.4,4.95,"LOW","blue"
"vacation",7.73,4.73,6.4,47,8.38,6.1,7,"HIGH","red"
"valentine",7.8,5.9,4.9,2,8.23,6.12,6.15,"LOW","blue"
"vampire",4.76,6.24,5.24,1,3.92,6.46,4.92,"LOW","blue"
"vanity",4.33,4.92,4.5,7,4.29,5,4.91,"MID","darkgreen"
"vehicle",6.42,4.95,6.05,35,6.15,4.38,5.56,"HIGH","red"
"venom",3.71,5.5,4.38,2,1.8,6.55,3.6,"LOW","blue"
"vest",4.94,4.33,5.11,4,5.46,3.69,5.08,"LOW","blue"
"victim",2.44,6,3.48,27,1.92,6.12,1.92,"MID","darkgreen"
"victory",7.87,6.2,7,61,8.6,6.88,7.42,"HIGH","red"
"vigorous",6.92,4.75,5.17,29,6.74,6.38,5.52,"MID","darkgreen"
"village",5.88,4.31,5.25,72,5.95,3.9,4.7,"HIGH","red"
"violent",3.53,6.33,5.33,33,1.48,7.26,5.04,"HIGH","red"
"violin",4.88,3.56,4.8,11,5.96,3.42,5.54,"MID","darkgreen"
"virgin",6.29,6.33,5.81,35,6.62,4.73,6.67,"HIGH","red"
"virtue",6.15,5.2,5.85,30,6.27,4,6.35,"HIGH","red"
"vision",6.87,4.47,6,56,6.5,4.75,6.03,"HIGH","red"
"world",6.13,4.93,5.38,787,6.69,5.52,5.21,"HIGH","red"
"wounds",2.96,5.8,4,8,2.08,5.85,3.85,"MID","darkgreen"
"writer",4.95,3.45,4.55,73,6.05,5.38,4.9,"HIGH","red"
"yacht",7.33,5.86,6.29,4,6.55,5.35,5.9,"LOW","blue"
"yellow",5.64,4.08,5.56,55,5.58,4.77,5.38,"HIGH","red"
"young",6.74,5.79,5.63,385,7,5.54,5.04,"HIGH","red"
"youth",6.84,5.47,5.84,82,6.68,5.81,4.56,"HIGH","red"
"zest",6.5,6,6.17,5,7,5.52,5.88,"LOW","blue"
