"participant","pretest.reg","gender","phase","weak.past","strong.past","category","sensibility","partnerRegCondition","item.reg.mean","response","regular","age"
"s6031",0.576923076923077,"Female","posttest","chited","chote","drove","sensible","increase",0.579,"chote",FALSE,47
"s6031",0.576923076923077,"Female","posttest","skeened","skent","kept","sensible","increase",0.688,"skent",FALSE,47
"s6031",0.576923076923077,"Female","posttest","sninked","snank","sang","sensible","increase",0.421,"sninked",TRUE,47
"s6031",0.576923076923077,"Female","posttest","brurned","brurnt","burnt","sensible","increase",0.554,"brurned",TRUE,47
"s6031",0.576923076923077,"Female","posttest","kleemed","klemt","kept","sensible","increase",0.653,"kleemed",TRUE,47
"s6031",0.576923076923077,"Female","posttest","gurned","gurnt","burnt","sensible","increase",0.708,"gurned",TRUE,47
"s6031",0.576923076923077,"Female","posttest","swided","swode","drove","sensible","increase",0.356,"swided",TRUE,47
"s6031",0.576923076923077,"Female","posttest","skinged","skang","sang","sensible","increase",0.52,"skinged",TRUE,47
"s6031",0.576923076923077,"Female","posttest","twited","twote","drove","sensible","increase",0.446,"twited",TRUE,47
"s6031",0.576923076923077,"Female","posttest","slurned","slurnt","burnt","sensible","increase",0.698,"slurnt",FALSE,47
"s6031",0.576923076923077,"Female","posttest","strimmed","stram","sang","sensible","increase",0.619,"strimmed",TRUE,47
"s6031",0.576923076923077,"Female","posttest","squited","squote","drove","sensible","increase",0.505,"squote",FALSE,47
"s6031",0.576923076923077,"Female","posttest","theeped","thept","kept","sensible","increase",0.416,"thept",FALSE,47
"s6031",0.576923076923077,"Female","posttest","pleeled","plelt","kept","sensible","increase",0.574,"pleeled",TRUE,47
"s6031",0.576923076923077,"Female","posttest","skrilled","skrilt","burnt","sensible","increase",0.733,"skrilt",FALSE,47
"s6031",0.576923076923077,"Female","posttest","vurned","vurnt","burnt","sensible","increase",0.668,"vurned",TRUE,47
"s6031",0.576923076923077,"Female","posttest","breeped","brept","kept","sensible","increase",0.55,"breeped",TRUE,47
"s6031",0.576923076923077,"Female","posttest","neemed","nemt","kept","sensible","increase",0.658,"nemt",FALSE,47
"s6031",0.576923076923077,"Female","posttest","swurned","swurnt","burnt","sensible","increase",0.723,"swurned",TRUE,47
"s6031",0.576923076923077,"Female","posttest","blurned","blurnt","burnt","sensible","increase",0.639,"blurned",TRUE,47
"s6031",0.576923076923077,"Female","posttest","chimmed","cham","sang","sensible","increase",0.743,"chimmed",TRUE,47
"s6031",0.576923076923077,"Female","posttest","squided","squode","drove","sensible","increase",0.406,"squode",FALSE,47
"s6031",0.576923076923077,"Female","posttest","shinged","shang","sang","sensible","increase",0.45,"shinged",TRUE,47
"s6031",0.576923076923077,"Female","posttest","vrilled","vrilt","burnt","sensible","increase",0.772,"vrilt",FALSE,47
"s6032",0.480769230769231,"Male","posttest","greeled","grelt","kept","sensible","increase",0.562,"greeled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","schmited","schmote","drove","sensible","increase",0.45,"schmited",TRUE,24
"s6032",0.480769230769231,"Male","posttest","zeemed","zemt","kept","sensible","increase",0.663,"zeemed",TRUE,24
"s6032",0.480769230769231,"Male","posttest","smilled","smilt","burnt","sensible","increase",0.668,"smilled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","sweeled","swelt","kept","sensible","increase",0.475,"sweeled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","sneeped","snept","kept","sensible","increase",0.431,"sneeped",TRUE,24
"s6032",0.480769230769231,"Male","posttest","twelled","twelt","burnt","sensible","increase",0.559,"twelled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","lelled","lelt","burnt","sensible","increase",0.668,"lelled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","sninged","snang","sang","sensible","increase",0.455,"sninged",TRUE,24
"s6032",0.480769230769231,"Male","posttest","streeled","strelt","kept","sensible","increase",0.51,"streeled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","glinged","glang","sang","sensible","increase",0.584,"glang",FALSE,24
"s6032",0.480769230769231,"Male","posttest","dreened","drent","kept","sensible","increase",0.634,"dreened",TRUE,24
"s6032",0.480769230769231,"Male","posttest","blided","blode","drove","sensible","increase",0.515,"blode",FALSE,24
"s6032",0.480769230769231,"Male","posttest","geeved","gove","drove","sensible","increase",0.599,"geeved",TRUE,24
"s6032",0.480769230769231,"Male","posttest","shringed","shrang","sang","sensible","increase",0.46,"shrang",FALSE,24
"s6032",0.480769230769231,"Male","posttest","thrided","throde","drove","sensible","increase",0.376,"throde",FALSE,24
"s6032",0.480769230769231,"Male","posttest","feemed","femt","kept","sensible","increase",0.673,"feemed",TRUE,24
"s6032",0.480769230769231,"Male","posttest","yided","yode","drove","sensible","increase",0.401,"yode",FALSE,24
"s6032",0.480769230769231,"Male","posttest","strined","strone","drove","sensible","increase",0.559,"strone",FALSE,24
"s6032",0.480769230769231,"Male","posttest","zimmed","zam","sang","sensible","increase",0.733,"zimmed",TRUE,24
"s6032",0.480769230769231,"Male","posttest","frimmed","fram","sang","sensible","increase",0.708,"frimmed",TRUE,24
"s6032",0.480769230769231,"Male","posttest","gringed","grang","sang","sensible","increase",0.515,"grang",FALSE,24
"s6032",0.480769230769231,"Male","posttest","jined","jone","drove","sensible","increase",0.658,"jone",FALSE,24
"s6032",0.480769230769231,"Male","posttest","minged","mang","sang","sensible","increase",0.639,"mang",FALSE,24
"s6032",0.480769230769231,"Male","posttest","thurned","thurnt","burnt","sensible","increase",0.693,"thurned",TRUE,24
"s6032",0.480769230769231,"Male","posttest","drurned","drurnt","burnt","sensible","increase",0.748,"drurned",TRUE,24
"s6032",0.480769230769231,"Male","posttest","strilled","strilt","burnt","sensible","increase",0.772,"strilled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","thringed","thrang","sang","sensible","increase",0.411,"thrang",FALSE,24
"s6032",0.480769230769231,"Male","posttest","vrited","vrote","drove","sensible","increase",0.366,"vrote",FALSE,24
"s6032",0.480769230769231,"Male","posttest","jinked","jank","sang","sensible","increase",0.614,"jank",FALSE,24
"s6032",0.480769230769231,"Male","posttest","sprelled","sprelt","burnt","sensible","increase",0.629,"sprelled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","stelled","stelt","burnt","sensible","increase",0.644,"stelled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","trined","trone","drove","sensible","increase",0.614,"trone",FALSE,24
"s6032",0.480769230769231,"Male","posttest","cheened","chent","kept","sensible","increase",0.743,"cheened",TRUE,24
"s6032",0.480769230769231,"Male","posttest","sneened","snent","kept","sensible","increase",0.698,"sneened",TRUE,24
"s6032",0.480769230769231,"Male","posttest","dwinked","dwank","sang","sensible","increase",0.431,"dwank",FALSE,24
"s6032",0.480769230769231,"Male","posttest","zeeped","zept","kept","sensible","increase",0.441,"zept",FALSE,24
"s6032",0.480769230769231,"Male","posttest","quided","quode","drove","sensible","increase",0.47,"quode",FALSE,24
"s6032",0.480769230769231,"Male","posttest","splived","splove","drove","sensible","increase",0.421,"splived",TRUE,24
"s6032",0.480769230769231,"Male","posttest","slived","slove","drove","sensible","increase",0.49,"slove",FALSE,24
"s6032",0.480769230769231,"Male","posttest","yilled","yilt","burnt","sensible","increase",0.718,"yilled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","twimmed","twam","sang","sensible","increase",0.54,"twimmed",TRUE,24
"s6032",0.480769230769231,"Male","posttest","splurned","splurnt","burnt","sensible","increase",0.703,"splurned",TRUE,24
"s6032",0.480769230769231,"Male","posttest","geemed","gemt","kept","sensible","increase",0.693,"geemed",TRUE,24
"s6032",0.480769230769231,"Male","posttest","rurned","rurnt","burnt","sensible","increase",0.731,"rurned",TRUE,24
"s6032",0.480769230769231,"Male","posttest","hurned","hurnt","burnt","sensible","increase",0.713,"hurned",TRUE,24
"s6032",0.480769230769231,"Male","posttest","quinked","quank","sang","sensible","increase",0.569,"quank",FALSE,24
"s6032",0.480769230769231,"Male","posttest","cheeled","chelt","kept","sensible","increase",0.545,"cheeled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","trelled","trelt","burnt","sensible","increase",0.678,"trelled",TRUE,24
"s6032",0.480769230769231,"Male","posttest","splinked","splank","sang","sensible","increase",0.49,"splank",FALSE,24
"s6032",0.480769230769231,"Male","posttest","plined","plone","drove","sensible","increase",0.713,"plone",FALSE,24
"s6032",0.480769230769231,"Male","posttest","schmeemed","schmemt","kept","sensible","increase",0.649,"schmeemed",TRUE,24
