"participant","gender","yearOfBirth","age","phase","category","sensibility","partnerRegCondition","item.reg.mean","strong.past","weak.past","response","regular"
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.515,"grang","gringed","gringed",TRUE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.505,"squote","squited","squote",FALSE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.52,"skang","skinged","skinged",TRUE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.688,"prurnt","prurned","prurned",TRUE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.401,"spang","spinged","spinged",TRUE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.411,"thrang","thringed","thringed",TRUE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.698,"snent","sneened","sneened",TRUE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.49,"slove","slived","slove",FALSE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.668,"vurnt","vurned","vurned",TRUE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.55,"brept","breeped","breeped",TRUE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.731,"rurnt","rurned","rurned",TRUE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.455,"snang","sninged","snang",FALSE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.584,"glang","glinged","glang",FALSE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.569,"quank","quinked","quinked",TRUE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.743,"cham","chimmed","chimmed",TRUE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.703,"schmone","schmined","schmined",TRUE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.421,"snank","sninked","sninked",TRUE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.708,"gurnt","gurned","gurned",TRUE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.658,"nemt","neemed","nemt",FALSE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.49,"splank","splinked","splank",FALSE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.545,"chelt","cheeled","cheeled",TRUE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.678,"trelt","trelled","trelt",FALSE
