"X","participant","pretest.reg","gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular"
76,"s6024",0.480769230769231,"Female",1983,"posttest","trinked","trank","sang","sensible",0.481,"no.change",0.49,"trank",FALSE
77,"s6024",0.480769230769231,"Female",1983,"posttest","schmined","schmone","drove","sensible",0.481,"no.change",0.703,"schmone",FALSE
78,"s6024",0.480769230769231,"Female",1983,"posttest","theeped","thept","kept","sensible",0.481,"no.change",0.416,"thept",FALSE
79,"s6024",0.480769230769231,"Female",1983,"posttest","threlled","threlt","burnt","sensible",0.481,"no.change",0.653,"threlt",FALSE
80,"s6024",0.480769230769231,"Female",1983,"posttest","blurned","blurnt","burnt","sensible",0.481,"no.change",0.639,"blurned",TRUE
81,"s6024",0.480769230769231,"Female",1983,"posttest","swided","swode","drove","sensible",0.481,"no.change",0.356,"swode",FALSE
82,"s6024",0.480769230769231,"Female",1983,"posttest","swurned","swurnt","burnt","sensible",0.481,"no.change",0.723,"swurnt",FALSE
83,"s6024",0.480769230769231,"Female",1983,"posttest","gurned","gurnt","burnt","sensible",0.481,"no.change",0.708,"gurned",TRUE
84,"s6024",0.480769230769231,"Female",1983,"posttest","pringed","prang","sang","sensible",0.481,"no.change",0.465,"prang",FALSE
85,"s6024",0.480769230769231,"Female",1983,"posttest","thrimmed","thram","sang","sensible",0.481,"no.change",0.683,"thrimmed",TRUE
86,"s6024",0.480769230769231,"Female",1983,"posttest","glilled","glilt","burnt","sensible",0.481,"no.change",0.673,"glilt",FALSE
87,"s6024",0.480769230769231,"Female",1983,"posttest","shinged","shang","sang","sensible",0.481,"no.change",0.45,"shang",FALSE
88,"s6024",0.480769230769231,"Female",1983,"posttest","vrilled","vrilt","burnt","sensible",0.481,"no.change",0.772,"vrilled",TRUE
89,"s6024",0.480769230769231,"Female",1983,"posttest","dwimmed","dwam","sang","sensible",0.481,"no.change",0.515,"dwam",FALSE
90,"s6024",0.480769230769231,"Female",1983,"posttest","squeened","squent","kept","sensible",0.481,"no.change",0.629,"squent",FALSE
91,"s6024",0.480769230769231,"Female",1983,"posttest","ninked","nank","sang","sensible",0.481,"no.change",0.647,"nank",FALSE
92,"s6024",0.480769230769231,"Female",1983,"posttest","squeeped","squept","kept","sensible",0.481,"no.change",0.52,"squept",FALSE
93,"s6024",0.480769230769231,"Female",1983,"posttest","klilled","klilt","burnt","sensible",0.481,"no.change",0.693,"klilled",TRUE
94,"s6024",0.480769230769231,"Female",1983,"posttest","prurned","prurnt","burnt","sensible",0.481,"no.change",0.688,"prurned",TRUE
95,"s6024",0.480769230769231,"Female",1983,"posttest","sninked","snank","sang","sensible",0.481,"no.change",0.421,"sninked",TRUE
96,"s6024",0.480769230769231,"Female",1983,"posttest","shreeped","shrept","kept","sensible",0.481,"no.change",0.46,"shrept",FALSE
97,"s6024",0.480769230769231,"Female",1983,"posttest","squited","squote","drove","sensible",0.481,"no.change",0.505,"squited",TRUE
98,"s6024",0.480769230769231,"Female",1983,"posttest","squided","squode","drove","sensible",0.481,"no.change",0.406,"squided",TRUE
99,"s6024",0.480769230769231,"Female",1983,"posttest","glinked","glank","sang","sensible",0.481,"no.change",0.609,"glank",FALSE
100,"s6024",0.480769230769231,"Female",1983,"posttest","pleeled","plelt","kept","sensible",0.481,"no.change",0.574,"pleeled",TRUE
101,"s6024",0.480769230769231,"Female",1983,"posttest","skeened","skent","kept","sensible",0.481,"no.change",0.688,"skeened",TRUE
102,"s6024",0.480769230769231,"Female",1983,"posttest","slurned","slurnt","burnt","sensible",0.481,"no.change",0.698,"slurnt",FALSE
103,"s6024",0.480769230769231,"Female",1983,"posttest","splided","splode","drove","sensible",0.481,"no.change",0.475,"splided",TRUE
104,"s6024",0.480769230769231,"Female",1983,"posttest","slined","slone","drove","sensible",0.481,"no.change",0.614,"slone",FALSE
105,"s6025",0.384615384615385,"Female",1981,"posttest","splinked","splank","sang","sensible",0.385,"no.change",0.49,"splank",FALSE
106,"s6025",0.384615384615385,"Female",1981,"posttest","glinged","glang","sang","sensible",0.385,"no.change",0.584,"glang",FALSE
107,"s6025",0.384615384615385,"Female",1981,"posttest","jined","jone","drove","sensible",0.385,"no.change",0.658,"jined",TRUE
108,"s6025",0.384615384615385,"Female",1981,"posttest","thrided","throde","drove","sensible",0.385,"no.change",0.376,"throde",FALSE
109,"s6025",0.384615384615385,"Female",1981,"posttest","splurned","splurnt","burnt","sensible",0.385,"no.change",0.703,"splurned",TRUE
110,"s6025",0.384615384615385,"Female",1981,"posttest","sneeped","snept","kept","sensible",0.385,"no.change",0.431,"snept",FALSE
111,"s6025",0.384615384615385,"Female",1981,"posttest","schmeemed","schmemt","kept","sensible",0.385,"no.change",0.649,"schmemt",FALSE
112,"s6025",0.384615384615385,"Female",1981,"posttest","streeled","strelt","kept","sensible",0.385,"no.change",0.51,"strelt",FALSE
113,"s6025",0.384615384615385,"Female",1981,"posttest","smilled","smilt","burnt","sensible",0.385,"no.change",0.668,"smilled",TRUE
114,"s6025",0.384615384615385,"Female",1981,"posttest","sneened","snent","kept","sensible",0.385,"no.change",0.698,"snent",FALSE
115,"s6025",0.384615384615385,"Female",1981,"posttest","strined","strone","drove","sensible",0.385,"no.change",0.559,"strone",FALSE
116,"s6025",0.384615384615385,"Female",1981,"posttest","feemed","femt","kept","sensible",0.385,"no.change",0.673,"feemed",TRUE
117,"s6025",0.384615384615385,"Female",1981,"posttest","jinked","jank","sang","sensible",0.385,"no.change",0.614,"jinked",TRUE
118,"s6025",0.384615384615385,"Female",1981,"posttest","drurned","drurnt","burnt","sensible",0.385,"no.change",0.748,"drurned",TRUE
119,"s6025",0.384615384615385,"Female",1981,"posttest","blided","blode","drove","sensible",0.385,"no.change",0.515,"blode",FALSE
120,"s6025",0.384615384615385,"Female",1981,"posttest","splived","splove","drove","sensible",0.385,"no.change",0.421,"splove",FALSE
121,"s6025",0.384615384615385,"Female",1981,"posttest","greeled","grelt","kept","sensible",0.385,"no.change",0.562,"greeled",TRUE
122,"s6025",0.384615384615385,"Female",1981,"posttest","hurned","hurnt","burnt","sensible",0.385,"no.change",0.713,"hurned",TRUE
123,"s6025",0.384615384615385,"Female",1981,"posttest","thringed","thrang","sang","sensible",0.385,"no.change",0.411,"thrang",FALSE
124,"s6025",0.384615384615385,"Female",1981,"posttest","yided","yode","drove","sensible",0.385,"no.change",0.401,"yode",FALSE
125,"s6025",0.384615384615385,"Female",1981,"posttest","trined","trone","drove","sensible",0.385,"no.change",0.614,"trined",TRUE
126,"s6025",0.384615384615385,"Female",1981,"posttest","quided","quode","drove","sensible",0.385,"no.change",0.47,"quode",FALSE
127,"s6025",0.384615384615385,"Female",1981,"posttest","schmited","schmote","drove","sensible",0.385,"no.change",0.45,"schmote",FALSE
128,"s6025",0.384615384615385,"Female",1981,"posttest","zeeped","zept","kept","sensible",0.385,"no.change",0.441,"zept",FALSE
