"subject","condition","correct","correctAnswer","experiment","subj.gender","interlocutor","inTraining","phase","promptImage","promptName","selection","targetImage","targetWord1","targetWord2","subj.yob","subject.age","trialNumber"
"s1384","linguistic",TRUE,"wenpek","exp1","Male","male",TRUE,"training","candleholder_large","wen","wenpek","candleholder_dimin","wenpek","wenpak",1985,29,32
"s1384","linguistic",TRUE,"wenpek","exp1","Male","male_side",TRUE,"training","candleholder_large","wen","wenpek","candleholder_dimin","wenpek","wenpak",1985,29,33
"s1384","linguistic",TRUE,"wenpek","exp1","Male","female",TRUE,"training","candleholder_large","wen","wenpek","candleholder_dimin","wenpek","wenpak",1985,29,34
"s1384","linguistic",TRUE,"wekpek","exp1","Male","male_side",TRUE,"training","mushroom_large","wek","wekpek","mushroom_dimin","wekpek","wekpak",1985,29,35
"s1385","linguistic",TRUE,"wenpek","exp1","Male","male",TRUE,"training","chair_large","wen","wenpek","chair_dimin","wenpek","wenpak",1978,36,1
"s1385","linguistic",TRUE,"wenpek","exp1","Male","female",TRUE,"training","chair_large","wen","wenpek","chair_dimin","wenpek","wenpak",1978,36,2
"s1385","linguistic",FALSE,"rakpak","exp1","Male","male_side",TRUE,"training","chair_large","rak","rakpek","chair_dimin","rakpek","rakpak",1978,36,3
"s1385","linguistic",TRUE,"wenpek","exp1","Male","female",TRUE,"training","chair_large","wen","wenpek","chair_dimin","wenpek","wenpak",1978,36,4
"s1385","linguistic",TRUE,"rakpak","exp1","Male","male_side",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1978,36,5
"s1385","linguistic",FALSE,"wekpek","exp1","Male","female_side",TRUE,"training","fox_large_male","wek","wekpak","fox_dimin","wekpek","wekpak",1978,36,6
"s1385","linguistic",TRUE,"rakpak","exp1","Male","male_side",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1978,36,7
"s1385","linguistic",FALSE,"wekpek","exp1","Male","female_side",TRUE,"training","fox_large_male","wek","wekpak","fox_dimin","wekpek","wekpak",1978,36,8
"s1385","linguistic",TRUE,"rakpak","exp1","Male","male_side",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1978,36,9
"s1385","linguistic",TRUE,"wekpek","exp1","Male","female_side",TRUE,"training","fox_large_male","wek","wekpek","fox_dimin","wekpek","wekpak",1978,36,10
"s1385","linguistic",TRUE,"wekpek","exp1","Male","male_side",TRUE,"training","fox_large_male","wek","wekpek","fox_dimin","wekpek","wekpak",1978,36,11
"s1385","linguistic",TRUE,"rakpak","exp1","Male","female",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1978,36,12
